run_id,t_s,bx_ut,by_ut,bz_ut
2342474,52.697,-31.4679,6.4220,3.2110
2342474,52.863,-31.8349,5.2294,5.1376
2342474,53.029,-30.1835,-4.5872,18.8991
2342474,53.197,-21.9266,-8.7156,31.6514
2342474,53.363,-4.6789,-21.9266,40.6422
2342474,53.529,18.1651,-30.8257,36.8807
2342474,53.697,34.8624,-33.7615,20.8257
2342474,53.863,39.2661,-33.6697,5.7798
2342474,54.029,37.8899,-29.2661,-12.2936
2342474,54.197,27.2477,-27.7064,-24.9541
2342474,54.363,23.5780,-37.0642,-19.8165
2342474,54.530,8.6239,-47.0642,-9.0826
2342474,54.697,1.0092,-49.2661,9.6330
2342474,54.863,5.0459,-43.3028,28.3486
2342474,55.030,22.2936,-24.9541,39.4495
2342474,55.197,26.2385,0.2752,38.4404
2342474,55.363,18.2569,19.5413,30.5505
2342474,55.530,16.6055,28.3486,20.0000
2342474,55.696,13.7615,30.7339,16.6972
2342474,55.863,6.9725,34.0367,11.1927
2342474,56.032,1.7431,33.8532,11.7431
2342474,56.249,5.2294,29.4495,22.5688
2342474,56.417,15.5963,18.0734,33.1193
2342474,56.583,23.4862,2.7523,38.8991
2342474,56.749,33.7615,-22.8440,33.4862
2342474,56.917,14.7706,-42.4771,33.3945
2342474,57.083,-0.3670,-35.5963,39.5413
2342474,57.249,-15.0459,-19.9083,40.1835
2342474,57.416,-16.6972,6.9725,34.7706
2342474,57.583,-22.2018,14.4954,22.2018
2342474,57.749,-25.5046,6.6055,24.0367
2342474,57.916,-24.5872,-3.3945,29.5413
2342474,58.083,-24.7706,-13.4862,29.5413
2342474,58.249,-7.7064,-26.4220,38.5321
2342474,58.416,21.4679,-34.6789,33.1193
2342474,58.583,39.1743,-31.7431,13.3945
2342474,58.749,39.2661,-29.7248,-7.9817
2342474,58.916,33.0275,-32.6605,-15.3211
2342474,59.083,23.4862,-32.4771,-24.2202
2342474,59.249,6.9725,-36.2385,-25.2294
2342474,59.416,-3.5780,-41.7431,-15.2294
2342474,59.583,1.9266,-44.5872,-12.4771
2342474,59.749,5.1376,-47.1560,-5.0459
2342474,59.916,26.0550,-43.7615,8.0734
2342474,60.082,31.3761,-40.8257,6.6055
2342474,60.251,25.3211,-43.9450,-5.6881
2342474,60.483,31.3761,-37.2477,-12.2936
2342474,60.650,26.0550,-35.2294,-21.0092
2342474,60.817,26.8807,-32.2018,-23.5780
2342474,60.984,32.5688,-31.5596,-18.5321
2342474,61.152,33.3945,-31.4679,-18.0734
2342474,61.319,36.9725,-25.5046,-19.5413
2342474,61.486,34.8624,-15.3211,-27.3394
2342474,61.652,28.2569,-8.5321,-33.7615
2342474,61.819,19.1743,-23.9450,-33.4862
2342474,61.986,3.8532,-40.0917,-21.4679
2342474,62.152,15.6881,-44.9541,-10.2752
2342474,62.338,39.4495,-25.9633,-14.8624
2342474,62.505,40.8257,-9.5413,-21.7431
2342474,62.671,35.6881,-0.1835,-26.9725
2342474,62.838,28.8073,-0.5505,-32.9358
2342474,63.005,19.3578,-6.8807,-37.9817
2342474,63.171,10.1835,-27.0642,-33.7615
2342474,63.339,15.6881,-39.5413,-20.6422
2342474,63.505,27.8899,-32.3853,-21.1009
2342474,63.671,37.5229,-17.6147,-22.9358
2342474,63.838,32.0183,7.7982,-28.1651
2342474,64.005,26.0550,12.6606,-29.0826
2342474,64.171,21.1927,8.5321,-32.1101
2342474,64.338,19.0826,-3.2110,-37.8899
2342474,64.507,17.7064,-22.1101,-34.6789
2342474,64.701,27.9817,-32.2018,-21.2844
2342474,64.868,37.8899,-22.8440,-18.0734
2342474,65.035,39.9083,-1.8349,-22.5688
2342474,65.202,27.6147,12.6606,-29.5413
2342474,65.368,23.2110,13.9450,-28.8991
2342474,65.535,17.4312,7.1560,-33.6697
2342474,65.701,13.6697,0.3670,-38.3486
2342474,65.868,10.0000,-19.0826,-36.7890
2342474,66.035,20.1835,-31.3761,-26.2385
2342474,66.202,36.0550,-19.2661,-22.4771
2342474,66.368,38.8991,-3.2110,-24.1284
2342474,66.535,25.0459,17.7064,-28.9908
2342474,66.702,17.3395,22.9358,-23.6697
2342474,66.868,17.4312,17.9817,-29.5413
2342474,67.034,16.2385,7.1560,-37.8899
2342474,67.201,12.2018,-16.4220,-36.8807
2342474,67.368,13.4862,-38.0734,-19.9083
2342474,67.534,24.1284,-41.1927,-2.6606
2342474,67.702,40.0000,-26.4220,-6.0550
2342474,67.868,38.7156,-6.0550,-24.2202
2342474,68.034,35.7798,-9.8165,-27.4312
2342474,68.202,27.3394,-30.0000,-24.2202
2342474,68.368,18.0734,-34.3119,-25.3211
2342474,68.534,23.1193,-18.9908,-34.6789
2342474,68.703,17.0642,-26.4220,-33.1193
2342474,68.910,6.4220,-43.5780,-12.9358
2342474,69.076,11.0092,-46.6055,8.0734
2342474,69.243,30.0917,-36.9725,16.2385
2342474,69.410,46.6055,-10.9174,-7.3394
2342474,69.576,42.4771,-3.3028,-19.7248
2342474,69.742,38.8073,-5.5963,-25.7798
2342474,69.910,29.6330,-15.9633,-32.3853
2342474,70.076,15.3211,-24.2202,-35.3211
2342474,70.242,9.6330,-29.5413,-32.4771
2342474,70.410,11.9266,-42.8440,-15.2294
2342474,70.576,15.8716,-46.4220,-0.8257
2342474,70.742,33.3027,-38.0734,3.3945
2342474,70.910,42.7523,-23.9450,-8.7156
2342474,71.076,45.2294,-9.1743,-13.3028
2342474,71.242,46.0550,1.9266,-9.9083
2342474,71.410,43.9450,-4.1284,-17.9817
2342474,71.576,26.0550,-25.2294,-30.3670
2342474,71.744,0.0000,-36.4220,-24.9541
2342474,71.912,-11.3761,-40.2752,-10.6422
2342474,72.078,8.6239,-47.9817,5.5046
2342474,72.244,32.6605,-39.2661,8.1651
2342474,72.411,45.1376,-21.9266,-3.0275
2342474,72.578,44.8624,-11.5596,-14.0367
2342474,72.744,42.1101,-7.7982,-20.5505
2342474,72.913,21.2844,-20.8257,-34.7706
2342474,73.128,3.4862,-35.3211,-26.7890
2342474,73.294,3.0275,-47.8899,-0.8257
2342474,73.461,10.1835,-43.3945,25.1376
2342474,73.628,23.3945,-31.2844,33.3027
2342474,73.794,35.9633,-19.3578,29.7248
2342474,73.961,38.8991,-14.8624,28.9908
