# label,wifi_on_scan
# sample_hz,20
# duration_s,60
# sda_gpio,21
# scl_gpio,22
t_ms,mx_raw,my_raw,mz_raw,wifi_scan_count
20400,175,260,165,3
20450,175,260,165,3
20500,175,262,164,3
20550,175,262,164,3
20600,174,261,165,3
20650,174,261,165,3
20700,175,260,165,3
20750,175,262,164,3
20800,174,260,165,3
20850,174,260,165,3
20900,175,261,165,3
20950,174,262,165,3
21000,175,261,163,3
21050,175,261,163,3
21100,175,261,164,3
21150,174,261,164,3
21200,174,261,164,3
21250,174,261,164,3
21300,175,262,164,3
21350,174,262,164,3
21400,175,261,165,3
21450,175,261,165,3
21500,175,262,165,3
21550,176,262,163,3
21600,176,262,163,3
21650,174,262,164,3
21700,176,261,164,3
21750,176,262,165,3
21800,176,262,165,3
21850,173,261,166,3
21900,175,261,164,3
21950,174,263,165,3
22000,174,263,165,3
22050,174,261,164,3
22100,175,260,163,3
22150,174,261,163,3
22200,174,261,163,3
22250,173,261,164,3
22300,175,261,164,3
22350,175,260,164,3
22400,175,260,164,3
22450,174,262,164,3
22500,175,261,165,3
22550,175,259,164,3
22600,175,259,164,3
22650,175,261,164,4
25154,175,261,164,4
25156,175,261,164,4
25158,175,261,164,4
25160,176,261,165,4
25162,176,261,165,4
25164,176,261,165,4
25166,176,261,165,4
25168,176,261,165,4
25170,176,261,165,4
25172,176,261,165,4
25174,176,261,165,4
25176,176,261,165,4
25178,176,261,165,4
25180,176,261,165,4
25182,176,261,165,4
25184,176,261,165,4
25186,176,261,165,4
25188,176,261,165,4
25190,176,261,165,4
25192,176,261,165,4
25194,176,261,165,4
25196,176,261,165,4
25198,176,261,165,4
25200,176,261,165,4
25202,176,261,165,4
25204,176,261,165,4
25206,176,261,165,4
25208,176,261,165,4
25210,176,261,165,4
25212,176,261,165,4
25214,176,261,165,4
25215,176,261,165,4
25217,176,261,165,4
25219,176,261,165,4
25221,176,261,165,4
25223,176,261,165,4
25225,175,262,166,4
25227,175,262,166,4
25229,175,262,166,4
25231,175,262,166,4
25233,175,262,166,4
25235,175,262,166,4
25237,175,262,166,4
25239,175,262,166,4
25241,175,262,166,4
25243,175,262,166,4
25245,175,262,166,4
25247,175,262,166,4
25249,175,262,166,4
25251,175,262,166,4
25253,175,262,166,4
25255,175,262,166,4
25300,175,262,165,4
25350,175,262,165,4
25400,175,261,164,4
25450,175,261,165,4
25500,175,260,164,4
