# label,wifi_off
# sample_hz,20
# duration_s,60
# sda_gpio,21
# scl_gpio,22
t_ms,mx_raw,my_raw,mz_raw,wifi_scan_count
15400,-222,-325,320,0
15450,-220,-326,320,0
15500,-221,-324,319,0
15550,-220,-326,320,0
15600,-220,-326,320,0
15650,-220,-324,320,0
15700,-220,-325,319,0
15750,-220,-325,319,0
15800,-220,-325,320,0
15850,-221,-325,319,0
15900,-219,-325,320,0
15950,-219,-325,320,0
16000,-220,-325,319,0
16050,-219,-325,320,0
16100,-219,-325,322,0
16150,-219,-325,322,0
16200,-220,-325,319,0
16251,-220,-324,320,0
16300,-220,-325,321,0
16350,-220,-325,321,0
16400,-221,-325,320,0
16450,-221,-324,319,0
16500,-220,-324,320,0
16550,-220,-324,320,0
16600,-221,-325,318,0
16650,-221,-324,319,0
16700,-222,-325,320,0
16750,-222,-325,320,0
16800,-219,-325,320,0
16850,-221,-325,320,0
16900,-220,-324,320,0
16950,-220,-324,320,0
17000,-219,-325,321,0
17050,-220,-325,320,0
17100,-221,-324,320,0
17150,-221,-324,320,0
17200,-220,-325,320,0
17250,-221,-325,321,0
17300,-220,-325,320,0
17350,-220,-325,320,0
17400,-220,-325,321,0
17450,-220,-325,321,0
17500,-221,-325,320,0
17550,-221,-325,320,0
17600,-219,-326,319,0
17650,-220,-325,319,0
17700,-220,-325,320,0
17750,-220,-325,320,0
17800,-218,-325,321,0
17850,-216,-322,320,0
17900,-212,-320,322,0
17950,-212,-320,322,0
18000,-206,-327,320,0
18050,-200,-332,320,0
18100,-200,-335,321,0
18150,-197,-335,321,0
18200,-193,-336,320,0
18250,-191,-337,321,0
18300,-191,-337,321,0
18350,-191,-336,320,0
18400,-191,-337,320,0
18450,-207,-330,317,0
18500,-207,-330,317,0
18550,-215,-326,319,0
18600,-216,-326,319,0
18650,-215,-326,320,0
18700,-215,-326,320,0
18750,-215,-325,317,0
18800,-211,-326,321,0
18850,-201,-331,320,0
18900,-201,-331,320,0
18950,-191,-337,320,0
19000,-187,-340,319,0
19050,-177,-348,316,0
19100,-177,-348,316,0
19150,-173,-349,316,0
19200,-174,-347,315,0
19250,-174,-348,317,0
19300,-174,-348,317,0
19350,-172,-347,314,0
19400,-173,-348,315,0
19450,-173,-348,315,0
19500,-173,-348,315,0
19550,-174,-348,316,0
19600,-173,-348,316,0
19650,-174,-348,315,0
19700,-174,-348,315,0
19750,-174,-347,315,0
19800,-173,-347,315,0
19850,-161,-350,315,0
19900,-161,-350,315,0
19950,-174,-335,314,0
20000,-164,-341,314,0
20050,-164,-340,315,0
20100,-164,-340,315,0
20150,-159,-340,318,0
20200,-163,-336,319,0
20250,-163,-339,316,0
20300,-163,-339,316,0
20350,-162,-339,318,0
20400,-162,-339,317,0
20450,-163,-338,317,0
20500,-163,-338,317,0
20550,-163,-338,317,0
20600,-163,-339,316,0
20650,-163,-337,316,0
20700,-163,-337,316,0
20750,-164,-337,316,0
20800,-163,-339,317,0
20850,-163,-339,317,0
20900,-162,-338,316,0
20951,-162,-338,317,0
21000,-164,-339,316,0
21050,-164,-339,316,0
21100,-163,-339,318,0
21150,-164,-339,317,0
21200,-163,-337,316,0
21250,-163,-337,316,0
21300,-164,-337,317,0
21350,-165,-338,317,0
21400,-164,-338,317,0
21450,-164,-338,317,0
21500,-163,-338,317,0
21550,-163,-338,317,0
21600,-170,-327,316,0
21650,-170,-327,316,0
21700,-160,-322,321,0
21750,-152,-333,312,0
21800,-145,-336,315,0
21850,-145,-336,315,0
21900,-143,-334,315,0
21950,-140,-335,315,0
22000,-135,-336,318,0
22050,-135,-336,318,0
22100,-138,-336,316,0
22150,-138,-337,317,0
22200,-136,-338,317,0
22250,-136,-338,317,0
22300,-137,-336,318,0
22350,-137,-336,317,0
22400,-138,-337,317,0
22450,-138,-337,317,0
22500,-137,-337,318,0
22550,-138,-336,317,0
22600,-137,-337,318,0
22650,-137,-337,318,0
22700,-138,-336,316,0
22750,-137,-336,317,0
22800,-137,-336,318,0
22850,-137,-336,318,0
22900,-138,-337,316,0
22950,-137,-336,318,0
23000,-138,-335,318,0
23050,-138,-335,318,0
23100,-138,-338,317,0
23150,-136,-336,316,0
23201,-138,-336,316,0
23250,-138,-336,316,0
23300,-137,-337,318,0
23350,-136,-337,317,0
23400,-136,-337,317,0
23450,-138,-336,317,0
23500,-138,-336,318,0
23550,-138,-336,317,0
23600,-138,-336,317,0
23650,-138,-337,318,0
23700,-137,-336,318,0
23750,-136,-335,317,0
23800,-136,-335,317,0
23850,-138,-335,317,0
23900,-137,-336,318,0
23950,-137,-336,318,0
24000,-137,-336,318,0
24050,-138,-336,316,0
