# experiment,gps_baro_fusion
# chip_id,0x58
# p0_pa,100688.984
# baro_hz,5
# alpha,0.980
t_ms,temp_c,pressure_pa,baro_alt_m,gps_valid,gps_utc,lat,lon,gps_alt_m,satellites,hdop,speed_knots,course_deg,fused_alt_m
21810,24.930,100690.422,-0.1215,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
22016,24.920,100692.656,-0.3065,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
22216,24.920,100691.609,-0.2220,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
22416,24.920,100689.000,0.0000,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
22616,24.910,100691.195,-0.1850,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
22810,24.910,100690.922,-0.1638,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
23006,24.910,100690.313,-0.1110,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
23206,24.910,100688.828,0.0132,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
23406,24.930,100692.898,-0.3276,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
23606,24.930,100690.250,-0.1057,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
23810,24.920,100691.109,-0.1797,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
24016,24.930,100691.875,-0.2431,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
24216,24.930,100692.711,-0.3118,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
24416,24.930,100694.125,-0.4280,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
24616,24.940,100691.680,-0.2272,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
24810,24.940,100690.094,-0.0951,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
25016,24.930,100688.289,0.0581,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
25216,24.940,100692.031,-0.2537,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
25406,24.930,100691.406,-0.2008,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
25606,24.930,100689.922,-0.0793,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
25809,24.930,100694.125,-0.4280,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
26016,24.930,100690.078,-0.0898,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
26216,24.930,100690.461,-0.1215,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
26416,24.930,100692.188,-0.2695,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
26616,24.940,100693.445,-0.3752,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
26810,24.940,100692.625,-0.3065,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
27016,24.940,100690.992,-0.1691,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
27216,24.940,100692.516,-0.2959,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
27416,24.950,100693.094,-0.3435,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
27616,24.950,100690.125,-0.0951,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
27810,24.960,100690.703,-0.1427,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
28016,24.960,100692.094,-0.2589,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
28216,24.960,100694.914,-0.4967,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
28416,24.950,100694.188,-0.4333,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
28616,24.940,100691.344,-0.1955,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
28810,24.940,100693.750,-0.4016,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
29016,24.950,100694.383,-0.4545,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
29216,24.950,100692.086,-0.2589,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
29416,24.950,100693.305,-0.3646,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
29616,24.940,100693.227,-0.3541,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
29814,24.940,100691.875,-0.2431,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
30016,24.950,100693.852,-0.4069,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
30216,24.940,100692.688,-0.3118,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
30416,24.940,100690.508,-0.1268,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
30616,24.950,100692.680,-0.3118,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
30812,24.960,100695.031,-0.5073,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
31016,24.960,100693.086,-0.3435,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
31216,24.960,100687.781,0.1004,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
31416,24.970,100693.422,-0.3699,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
31616,24.960,100692.141,-0.2642,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
31812,24.950,100691.023,-0.1691,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
32016,24.940,100691.563,-0.2167,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
32216,24.940,100690.859,-0.1585,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
32416,24.940,100688.695,0.0238,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
32616,24.950,100688.969,0.0026,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
32810,24.950,100689.500,-0.0423,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
33016,24.950,100688.359,0.0528,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
33216,24.960,100689.656,-0.0581,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
33416,24.960,100688.141,0.0713,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
33616,24.970,100693.953,-0.4175,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
33810,24.960,100688.766,0.0185,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
34016,24.970,100693.313,-0.3646,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
34216,24.980,100693.188,-0.3541,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
34416,24.980,100691.000,-0.1691,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
34616,24.980,100690.000,-0.0846,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
34810,24.970,100691.398,-0.2008,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
35006,24.970,100689.102,-0.0106,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
35206,24.970,100691.188,-0.1850,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
35416,24.960,100694.500,-0.4650,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
35616,24.970,100689.711,-0.0634,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
35810,24.960,100691.844,-0.2378,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
36006,24.960,100691.938,-0.2484,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
36206,24.970,100689.359,-0.0317,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
36406,24.970,100692.609,-0.3012,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
36606,24.970,100687.484,0.1268,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
36810,24.970,100692.422,-0.2854,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
37006,24.970,100692.008,-0.2537,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
37206,24.960,100688.555,0.0370,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
37406,24.960,100691.766,-0.2325,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
37606,24.970,100688.828,0.0132,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
37810,24.980,100692.938,-0.3329,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
38016,24.990,100693.875,-0.4069,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
38216,24.980,100691.688,-0.2272,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
38416,24.980,100691.453,-0.2061,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
38616,24.980,100691.516,-0.2114,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
38810,24.990,100688.914,0.0053,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
39016,24.990,100692.094,-0.2589,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
39216,25.000,100692.156,-0.2642,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
39416,24.990,100689.797,-0.0687,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
39616,24.990,100692.914,-0.3276,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
39810,24.990,100690.164,-0.1004,0,,,,,0,-1.00,-1.000,-1.00,-0.3276
