# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
8420,-0.044678,0.001221,1.022461
8440,-0.046631,0.003662,1.019531
8460,-0.046631,0.002686,1.026611
8480,-0.047607,0.003906,1.024170
8500,-0.044922,0.002930,1.024414
8520,-0.046875,0.004150,1.025391
8540,-0.041016,0.001465,1.027344
8560,-0.042969,0.002441,1.026367
8580,-0.042969,0.005615,1.021729
8600,-0.040527,0.006836,1.025635
8620,-0.039795,0.004150,1.025879
8640,-0.044922,0.001709,1.026123
8660,-0.045166,0.000488,1.021973
8680,-0.044189,0.002197,1.025146
8700,-0.048584,0.002197,1.022949
8720,-0.043213,0.004883,1.027588
8741,-0.041260,0.004395,1.025635
8760,-0.045654,0.006592,1.026123
8780,-0.047852,0.005371,1.029785
8800,-0.047119,0.000977,1.022949
8821,-0.047852,0.005859,1.021973
8840,-0.043457,0.001709,1.027588
8860,-0.042480,0.005615,1.020508
8880,-0.044922,0.000000,1.025391
8900,-0.043701,0.004883,1.028809
8920,-0.041016,0.003906,1.023926
8940,-0.048096,0.000488,1.023438
8960,-0.044189,0.002686,1.021484
8980,-0.044434,0.002930,1.028320
9000,-0.043701,0.007080,1.022705
9020,-0.041992,0.000488,1.026123
9040,-0.048340,0.001953,1.021729
9060,-0.042480,0.004395,1.019775
9081,-0.047607,0.005371,1.029785
9100,-0.042480,-0.002197,1.028320
9120,-0.047607,0.006348,1.026611
9140,-0.048584,0.001465,1.018555
9160,-0.042480,0.005127,1.027832
9181,-0.044189,0.003662,1.023926
9200,-0.042969,0.002686,1.027100
9220,-0.044434,0.002441,1.025146
9240,-0.043457,0.002686,1.020996
9260,-0.040039,0.007080,1.025879
9280,-0.043213,0.001709,1.024658
9300,-0.041992,0.003174,1.032471
9320,-0.046387,0.001953,1.024658
9340,-0.043945,0.001465,1.029297
9360,-0.046387,0.004639,1.022949
9380,-0.050049,0.001465,1.023193
9400,-0.042969,0.002930,1.023193
9420,-0.043701,0.007813,1.019775
9440,-0.043457,0.007080,1.024170
9460,-0.044678,0.001709,1.017578
9480,-0.042725,0.000488,1.028564
9500,-0.044678,0.002930,1.021973
9520,-0.043213,0.000488,1.025635
9540,-0.042725,0.005615,1.030518
9560,-0.047607,0.001953,1.018799
9580,-0.041748,0.001221,1.025635
9600,-0.050049,0.003906,1.023193
9620,-0.042236,0.001709,1.026855
9640,-0.049316,0.002930,1.023438
9660,-0.047363,0.004395,1.030029
9680,-0.045898,0.005859,1.026611
9700,-0.047363,0.002441,1.026611
9720,-0.045166,-0.001221,1.020996
9740,-0.039795,0.003174,1.018799
9760,-0.046387,0.000244,1.017334
9780,-0.041260,0.005371,1.019287
9800,-0.044189,0.001953,1.019775
9820,-0.045410,0.004395,1.025879
9841,-0.047363,0.004395,1.023926
9860,-0.042725,0.001465,1.021729
9880,-0.046875,0.007080,1.027832
9900,-0.043213,0.006104,1.021973
9920,-0.045410,0.002197,1.024414
9941,-0.048584,0.004395,1.024414
9960,-0.043213,0.001953,1.021729
9980,-0.045410,0.004639,1.025635
10000,-0.044189,0.002686,1.023438
10020,-0.042236,0.002441,1.025146
10041,-0.043213,0.000488,1.020508
10060,-0.040771,0.006836,1.018799
10080,-0.046631,0.003662,1.021729
10100,-0.041992,0.005371,1.019775
10120,-0.043945,0.004639,1.028809
10141,-0.047363,0.005127,1.027832
10160,-0.041748,0.005615,1.020264
10180,-0.042725,0.003662,1.022461
10200,-0.043701,0.003662,1.029785
10220,-0.042725,0.004150,1.025635
10241,-0.041260,0.001221,1.022949
10260,-0.045898,0.001709,1.021729
10280,-0.043701,0.006104,1.029297
10300,-0.045898,0.001221,1.031006
10320,-0.043701,0.005127,1.022949
