# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
9360,1.008789,0.079590,0.043701
9380,1.004883,0.079834,0.040771
9401,1.004883,0.078857,0.031494
9420,1.006104,0.078857,0.040039
9440,1.006836,0.079346,0.035889
9460,1.007568,0.079590,0.042725
9480,1.007813,0.080811,0.041992
9500,1.006348,0.077637,0.034424
9520,1.004883,0.077148,0.031738
9540,1.007813,0.079102,0.037354
9560,1.003906,0.079102,0.039307
9580,1.009766,0.081055,0.039063
9600,1.005371,0.079102,0.038574
9620,1.007324,0.079590,0.039063
9640,1.008545,0.077148,0.033936
9660,1.011475,0.078369,0.032715
9680,1.006836,0.081299,0.039063
9700,1.008301,0.080322,0.036133
9720,1.006104,0.081787,0.036377
9740,1.009277,0.074707,0.043457
9760,1.006104,0.078369,0.036865
9780,1.004395,0.080811,0.034668
9800,1.009277,0.079834,0.039551
9820,1.005859,0.080322,0.040283
9840,1.003906,0.082764,0.039795
9860,1.006836,0.079834,0.035645
9880,1.001709,0.077881,0.037354
9900,1.004395,0.084473,0.035156
9920,1.004395,0.080566,0.038086
9940,1.006348,0.078613,0.038086
9960,1.006836,0.078369,0.036865
9981,1.008545,0.078369,0.036865
10000,1.010010,0.080811,0.037598
10020,1.003906,0.077148,0.038330
10040,1.008301,0.081299,0.034668
10060,1.010742,0.077637,0.034912
10080,1.006836,0.077637,0.040771
10100,1.006348,0.075195,0.036377
10120,1.005371,0.081299,0.043213
10140,1.005859,0.077148,0.037109
10160,1.007080,0.080078,0.039063
10180,1.005859,0.078613,0.039551
10200,1.013428,0.080078,0.033691
10220,1.005859,0.080078,0.034424
10240,1.006348,0.084473,0.032227
10260,1.007813,0.080811,0.035156
10280,1.007568,0.080078,0.042480
10300,1.010254,0.081543,0.040527
10320,1.005371,0.080566,0.036621
10340,1.009766,0.081299,0.033203
10360,1.003662,0.081543,0.038818
10380,1.007813,0.080566,0.037109
10400,1.009521,0.081543,0.035645
10420,1.007324,0.076416,0.035889
10440,1.005859,0.079590,0.035400
10460,1.006836,0.077637,0.042236
10480,1.006348,0.084473,0.038574
10500,1.002441,0.084473,0.039551
10520,1.004883,0.079834,0.031494
10540,1.010742,0.077881,0.034912
10560,1.005859,0.083496,0.041016
10580,1.007813,0.080566,0.038086
10600,1.005615,0.078613,0.033447
10621,1.004883,0.075684,0.035645
10640,1.007568,0.082275,0.044434
10660,1.004639,0.083008,0.035645
10680,1.008301,0.079590,0.041504
10700,1.006592,0.078857,0.049316
10721,1.006592,0.079590,0.031494
10740,1.007080,0.080078,0.037598
10760,1.003662,0.079102,0.038330
10780,1.007080,0.079102,0.035889
10800,1.002686,0.077148,0.039063
10821,1.010498,0.078369,0.032227
10840,1.009766,0.079834,0.036377
10860,1.008057,0.079590,0.035645
10880,1.004150,0.076660,0.041016
10900,1.004150,0.078613,0.037842
10921,1.006836,0.082031,0.039795
10940,1.004395,0.076416,0.038086
10960,1.008301,0.076172,0.038574
10980,1.006836,0.083740,0.037842
11000,1.007080,0.076172,0.035156
11021,1.010498,0.080078,0.031494
11040,1.005371,0.081543,0.036377
11060,1.004395,0.080322,0.040527
11080,1.008789,0.079590,0.042480
11100,1.003906,0.077393,0.042236
11120,1.008301,0.080322,0.035400
11140,1.005859,0.081543,0.040039
11160,1.007568,0.078857,0.032227
11180,1.006592,0.080811,0.040527
11200,1.004395,0.081055,0.038086
11220,1.004639,0.083252,0.028320
11240,1.010010,0.079834,0.038330
11260,1.008789,0.082031,0.041260
11280,1.007568,0.079590,0.040771
11300,1.006348,0.078613,0.039795
11320,1.005127,0.078125,0.031982
11340,1.007568,0.078369,0.037598
11360,1.000977,0.078857,0.038330
11380,1.007813,0.082275,0.038086
11400,1.006348,0.081299,0.036377
11420,1.003906,0.081299,0.033203
11440,1.006836,0.077881,0.036133
11460,1.008545,0.081543,0.037598
11480,1.008545,0.081055,0.037598
11500,1.005859,0.081787,0.041748
11520,1.008545,0.083740,0.037109
11540,1.006348,0.082520,0.041260
11560,1.006592,0.081787,0.038086
11580,1.007568,0.081299,0.036133
11600,1.008789,0.081299,0.041992
11621,1.006348,0.080566,0.039063
11640,1.010254,0.081543,0.033691
11660,1.009277,0.078125,0.035400
11680,1.005371,0.082275,0.040283
11700,1.009033,0.082520,0.039795
11721,1.005615,0.080811,0.032227
11740,1.005859,0.080811,0.038574
11760,1.011719,0.079102,0.040771
11780,1.004150,0.083252,0.036621
11800,1.007813,0.081543,0.039307
11821,1.003174,0.080566,0.037109
11840,1.004639,0.082764,0.041016
11860,1.007568,0.079102,0.038330
11880,1.005371,0.077637,0.037842
11900,1.006104,0.079590,0.035400
11921,1.008301,0.080322,0.037598
11940,1.004395,0.083252,0.037109
11960,1.005859,0.077148,0.036133
11980,1.008789,0.078857,0.039551
12000,1.009766,0.082031,0.038086
12021,1.008789,0.080566,0.030762
12040,1.005127,0.079102,0.037598
12060,1.006348,0.077881,0.033203
