# sample_hz,50
# duration_s,120
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps
3861,-0.053955,0.011230,1.019775,43.862,0.129771,1.053435,-0.083969
3880,-0.060059,0.009033,1.021240,43.874,0.251908,1.007634,-0.183206
3900,-0.062500,0.006104,1.019775,43.871,0.244275,0.969466,-0.106870
3920,-0.067627,0.005859,1.020752,43.877,0.221374,0.961832,-0.122137
3940,-0.058350,0.006104,1.028076,43.862,0.229008,0.977099,-0.297710
3960,-0.064697,0.005127,1.021484,43.871,0.175573,0.977099,-0.099237
3980,-0.065186,0.010498,1.023926,43.868,0.122137,0.992366,-0.145038
4000,-0.062744,0.006836,1.020752,43.886,0.251908,0.961832,-0.175573
4020,-0.064209,0.008545,1.026855,43.874,0.328244,0.961832,-0.145038
4040,-0.062500,0.006104,1.020752,43.892,0.320611,1.015267,-0.229008
4060,-0.064941,0.010254,1.026123,43.845,0.160305,1.038168,-0.038168
4080,-0.062988,0.004639,1.024658,43.868,0.198473,0.908397,-0.251908
4100,-0.065186,0.006104,1.023682,43.859,0.305344,1.099237,-0.167939
4120,-0.066895,0.009766,1.023926,43.859,0.152672,0.992366,-0.152672
4140,-0.067383,0.007324,1.017578,43.883,0.190840,0.977099,-0.160305
4160,-0.059082,0.009521,1.009033,43.871,0.198473,0.969466,-0.129771
4180,-0.057861,0.010742,1.021973,43.862,0.274809,0.984733,-0.122137
4200,-0.059814,0.010742,1.019531,43.851,0.236641,0.786260,-0.083969
4221,-0.064209,0.009033,1.025391,43.851,0.190840,1.106870,-0.206107
4240,-0.064941,0.009766,1.019043,43.877,0.190840,1.068702,-0.076336
4260,-0.061279,0.006104,1.021973,43.868,0.129771,1.091603,-0.190840
4280,-0.065186,0.007813,1.026855,43.833,0.229008,0.984733,-0.183206
4300,-0.063232,0.009277,1.026611,43.877,0.259542,0.954198,-0.198473
4320,-0.062012,0.010498,1.026611,43.854,0.183206,0.954198,-0.183206
4340,-0.063232,0.007568,1.018311,43.862,0.251908,1.106870,-0.083969
4360,-0.064209,0.006592,1.023193,43.880,0.160305,0.992366,-0.221374
4380,-0.066650,0.009521,1.020264,43.889,0.206107,0.923664,-0.061069
4400,-0.063477,0.007324,1.028320,43.871,0.251908,1.022901,-0.122137
4420,-0.061768,0.006348,1.023926,43.859,0.190840,1.045802,-0.167939
4440,-0.062256,0.012939,1.021240,43.862,0.145038,1.030534,-0.137405
4460,-0.063477,0.009766,1.018555,43.865,0.160305,0.961832,-0.038168
4480,-0.065918,0.010986,1.019531,43.886,0.343511,0.969466,-0.091603
4500,-0.066895,0.009766,1.018799,43.904,0.236641,1.007634,-0.137405
4520,-0.064209,0.007324,1.028076,43.904,0.221374,0.839695,-0.190840
4540,-0.066895,0.007324,1.030029,43.883,0.236641,0.870229,-0.145038
4560,-0.065674,0.011230,1.025146,43.871,0.236641,0.954198,-0.114504
4580,-0.063477,0.007568,1.022217,43.851,0.160305,0.923664,-0.175573
4600,-0.071045,0.009033,1.029297,43.886,0.152672,1.038168,-0.206107
4620,-0.064209,0.010742,1.023926,43.842,0.122137,0.969466,-0.015267
4640,-0.060059,0.009277,1.024658,43.889,0.274809,1.022901,-0.183206
4660,-0.066162,0.010498,1.031006,43.877,0.152672,0.839695,-0.175573
4680,-0.064941,0.005371,1.026367,43.862,0.175573,0.931298,-0.083969
4701,-0.065674,0.010742,1.022461,43.871,0.305344,1.030534,-0.083969
4720,-0.063965,0.009766,1.025391,43.871,0.152672,0.923664,-0.129771
4740,-0.064697,0.011719,1.021484,43.874,0.312977,0.877863,-0.053435
4760,-0.066406,0.008057,1.020752,43.848,0.236641,0.946565,-0.114504
4780,-0.062744,0.008057,1.028076,43.880,0.274809,0.969466,-0.190840
4800,-0.064209,0.009033,1.024170,43.854,0.229008,1.000000,-0.076336
4820,-0.065674,0.008545,1.014648,43.877,0.160305,1.000000,-0.122137
4840,-0.065186,0.010986,1.015381,43.883,0.236641,0.946565,-0.114504
4860,-0.067383,0.006836,1.021484,43.871,0.244275,0.984733,-0.114504
4880,-0.063477,0.006836,1.024902,43.868,0.183206,0.984733,-0.091603
4900,-0.061523,0.005371,1.023438,43.874,0.206107,0.923664,-0.022901
4920,-0.065186,0.006592,1.026855,43.874,0.305344,0.969466,-0.175573
4940,-0.059326,0.007080,1.025635,43.877,0.213740,0.969466,-0.152672
4960,-0.063232,0.010010,1.020020,43.886,0.206107,1.022901,-0.061069
4980,-0.066162,0.006104,1.020996,43.862,0.152672,0.969466,-0.083969
5000,-0.062256,0.005371,1.024902,43.877,0.183206,1.038168,-0.122137
5020,-0.064453,0.004883,1.019287,43.871,0.251908,0.938931,-0.091603
5040,-0.060059,0.007568,1.026855,43.868,0.221374,1.053435,-0.076336
5060,-0.064697,0.011475,1.021240,43.877,0.267176,0.961832,-0.129771
5081,-0.062500,0.007080,1.018799,43.874,0.145038,1.030534,-0.083969
5101,-0.063232,0.010986,1.020996,43.865,0.290076,1.015267,-0.114504
5120,-0.062012,0.007080,1.017578,43.859,0.305344,0.977099,-0.183206
5140,-0.063232,0.011230,1.025391,43.848,0.183206,1.114504,-0.175573
5160,-0.060303,0.009521,1.021973,43.880,0.236641,1.000000,-0.083969
5180,-0.064209,0.013672,1.023682,43.877,0.190840,0.954198,-0.236641
5200,-0.064697,0.009277,1.025635,43.856,0.259542,1.038168,-0.106870
5220,-0.061035,0.009766,1.022217,43.830,0.236641,0.954198,-0.236641
5240,-0.070313,0.009033,1.018799,43.874,0.198473,0.977099,-0.122137
5260,-0.065430,0.009277,1.020264,43.871,0.152672,1.015267,-0.175573
5280,-0.068604,0.010010,1.020020,43.889,0.427481,1.015267,-0.236641
5300,-0.065430,0.009766,1.029297,43.851,0.160305,0.984733,-0.206107
5320,-0.062988,0.007813,1.017578,43.848,0.198473,0.977099,-0.083969
5340,-0.065430,0.010254,1.022217,43.868,0.282443,1.015267,-0.190840
5360,-0.062988,0.004883,1.022217,43.898,0.221374,0.977099,-0.076336
5380,-0.065674,0.004639,1.023682,43.859,0.167939,0.977099,-0.183206
5400,-0.063721,0.010498,1.020508,43.877,0.297710,0.992366,-0.206107
5420,-0.066406,0.009766,1.025391,43.865,0.183206,0.854962,-0.122137
5441,-0.065186,0.006592,1.022949,43.877,0.183206,1.053435,-0.221374
5460,-0.061035,0.007568,1.022217,43.839,0.251908,0.839695,-0.183206
5480,-0.065918,0.008057,1.021729,43.877,0.137405,0.923664,-0.137405
5500,-0.070557,0.007080,1.024170,43.851,0.251908,1.038168,-0.076336
5520,-0.062012,0.007568,1.024658,43.859,0.221374,0.977099,-0.091603
5540,-0.062744,0.005859,1.025146,43.886,0.099237,1.015267,-0.183206
5560,-0.064453,0.009766,1.025879,43.859,0.145038,0.923664,0.007634
5580,-0.065918,0.010010,1.020264,43.862,0.251908,0.954198,-0.160305
5600,-0.066406,0.007080,1.017090,43.874,0.167939,0.908397,-0.068702
5620,-0.065186,0.007324,1.025879,43.856,0.305344,0.900763,-0.137405
5640,-0.060547,0.007568,1.031494,43.851,0.221374,1.152672,-0.221374
5660,-0.061279,0.009277,1.021973,43.877,0.175573,1.106870,-0.190840
5680,-0.065430,0.010498,1.024170,43.889,0.251908,0.984733,-0.099237
5700,-0.064941,0.011475,1.024658,43.883,0.229008,1.007634,-0.114504
5720,-0.065918,0.008057,1.025391,43.856,0.236641,1.007634,-0.175573
5740,-0.062744,0.009277,1.023682,43.892,0.244275,0.877863,-0.114504
5760,-0.066162,0.008301,1.021973,43.862,0.221374,0.977099,-0.152672
5780,-0.062988,0.009766,1.023682,43.862,0.274809,0.938931,-0.076336
5800,-0.066650,0.008545,1.022217,43.868,0.221374,0.946565,-0.122137
5821,-0.068115,0.007080,1.026123,43.862,0.145038,0.938931,-0.091603
5840,-0.062744,0.007324,1.023682,43.856,0.244275,0.938931,-0.206107
5860,-0.066406,0.008301,1.017578,43.856,0.244275,0.961832,-0.152672
5880,-0.062256,0.008545,1.021240,43.877,0.229008,0.969466,-0.099237
5900,-0.067139,0.011475,1.023926,43.871,0.251908,0.969466,-0.206107
5920,-0.065186,0.010742,1.026123,43.848,0.175573,0.916031,-0.183206
5940,-0.063477,0.013428,1.026611,43.862,0.190840,0.984733,-0.061069
5960,-0.064209,0.010254,1.023926,43.859,0.343511,1.038168,-0.122137
5980,-0.062744,0.010498,1.028076,43.892,0.282443,0.923664,-0.068702
6000,-0.067871,0.009277,1.027832,43.871,0.198473,0.992366,-0.015267
6020,-0.065918,0.011475,1.022461,43.874,0.274809,0.961832,-0.152672
6040,-0.062500,0.006348,1.018311,43.848,0.213740,1.106870,-0.137405
6060,-0.067383,0.006104,1.026855,43.862,0.213740,0.916031,-0.114504
6080,-0.064941,0.007080,1.023193,43.871,0.267176,1.015267,-0.083969
6100,-0.062012,0.008789,1.027344,43.842,0.198473,0.984733,-0.122137
6120,-0.060303,0.007080,1.016602,43.892,0.137405,1.015267,-0.206107
6140,-0.068604,0.006592,1.023193,43.854,0.229008,0.870229,-0.137405
6160,-0.066406,0.007324,1.023926,43.880,0.244275,1.083969,-0.106870
6181,-0.062988,0.010498,1.028809,43.856,0.137405,0.938931,-0.114504
6200,-0.066162,0.010254,1.023193,43.886,0.259542,0.977099,-0.091603
6220,-0.068115,0.011719,1.028076,43.880,0.152672,1.022901,-0.114504
6240,-0.062256,0.010498,1.027344,43.865,0.198473,0.992366,-0.106870
6260,-0.062744,0.010254,1.027344,43.862,0.175573,1.000000,-0.190840
6280,-0.064209,0.010498,1.028809,43.883,0.244275,0.931298,-0.160305
6300,-0.063965,0.008789,1.026611,43.868,0.221374,1.007634,-0.175573
6320,-0.060303,0.007813,1.025391,43.877,0.274809,0.885496,-0.106870
6340,-0.065186,0.008789,1.022705,43.871,0.267176,0.847328,-0.137405
6360,-0.062012,0.008545,1.029297,43.862,0.183206,1.045802,-0.099237
6380,-0.066162,0.009033,1.021973,43.859,0.236641,1.022901,-0.122137
6400,-0.063477,0.014160,1.026123,43.868,0.244275,0.931298,0.007634
6420,-0.062012,0.010254,1.026123,43.874,0.213740,0.977099,-0.068702
6440,-0.062256,0.011230,1.022705,43.883,0.175573,0.862595,-0.129771
6460,-0.064209,0.009521,1.030762,43.851,0.167939,1.030534,-0.152672
6480,-0.063721,0.007813,1.021973,43.886,0.305344,1.022901,-0.175573
6500,-0.062012,0.010742,1.031494,43.856,0.190840,0.893130,-0.221374
6521,-0.065674,0.005615,1.016602,43.874,0.198473,0.916031,-0.229008
