t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
1589.859,1.0073,-0.0171,0.0588,0.45,1.015,-0.069,41.94
1589.884,1.0024,-0.0178,0.0659,0.519,1.008,-0.099,41.89
1589.909,1.0044,-0.0181,0.0598,0.71,1.267,0.122,41.89
1589.934,1.0071,-0.0142,0.0671,0.504,1.115,0.069,41.89
1589.959,1.0049,-0.0227,0.0593,0.618,1.015,-0.015,41.99
1589.984,1.0095,-0.0159,0.0608,0.809,1.031,-0.099,41.71
1590.009,1.0,-0.0156,0.0627,0.626,1.115,0.092,41.75
1590.034,1.0054,-0.0146,0.0627,0.366,0.916,-0.031,41.89
1590.059,1.0059,-0.0151,0.063,0.405,1.008,-0.053,41.94
1590.084,1.0032,-0.0134,0.0615,0.641,1.282,0.137,41.71
1590.109,1.0039,-0.0205,0.062,0.702,0.87,-0.145,41.94
1590.134,1.0063,-0.019,0.0632,0.824,1.168,-0.153,41.99
1590.159,1.0046,-0.0193,0.0645,0.908,1.031,-0.153,41.8
1590.184,1.0095,-0.0161,0.0676,0.702,1.557,0.328,41.89
1590.209,1.0044,-0.0198,0.0637,0.603,0.969,-0.076,41.94
1590.234,1.0071,-0.022,0.0645,0.763,1.351,-0.16,41.8
1590.259,1.0046,-0.0149,0.0601,0.626,1.031,-0.282,41.8
1590.284,1.0103,-0.019,0.0676,0.595,1.153,-0.084,41.75
1590.309,1.0044,-0.0188,0.061,0.305,1.298,0.16,41.75
1590.334,1.0049,-0.0188,0.0615,0.618,0.985,-0.16,41.75
1590.359,1.0066,-0.0198,0.0637,0.664,1.176,0.038,41.89
1590.384,1.0063,-0.0149,0.0593,0.542,1.023,0.0,41.89
1590.409,1.0049,-0.0176,0.0591,0.656,1.237,0.191,41.94
1590.434,1.0007,-0.0154,0.0645,0.733,1.237,0.13,41.71
1590.459,1.0032,-0.0208,0.0581,0.58,1.107,-0.061,41.8
1590.484,1.0073,-0.0171,0.0647,0.58,1.42,0.038,41.94
1590.509,1.0059,-0.0156,0.0676,0.809,1.237,-0.061,41.94
1590.534,1.0078,-0.0168,0.062,0.733,1.023,-0.069,41.71
1590.559,1.0073,-0.0178,0.0652,0.802,1.099,-0.023,41.94
1590.584,1.009,-0.0195,0.0603,0.931,1.168,0.145,41.8
1590.609,1.0081,-0.0188,0.0608,0.809,0.863,-0.176,41.75
1590.634,1.0095,-0.0168,0.063,0.71,0.969,-0.137,41.89
1590.659,1.0042,-0.021,0.0652,0.718,1.145,-0.023,41.94
1590.684,1.0056,-0.019,0.0603,0.534,1.153,0.038,41.8
1590.709,1.0015,-0.0159,0.0588,0.855,0.916,0.336,41.89
1590.734,1.0024,-0.0164,0.061,0.573,1.237,-0.153,41.75
1590.759,1.0068,-0.0161,0.0627,0.443,1.137,-0.061,41.94
1590.784,1.0042,-0.0151,0.0659,0.45,1.115,0.183,41.8
1590.809,1.0066,-0.022,0.064,0.611,0.985,0.0,41.75
1590.834,1.0044,-0.0159,0.0659,0.817,1.053,-0.145,41.94
1590.859,1.0066,-0.0142,0.0596,0.863,1.015,-0.122,42.08
1590.884,1.0029,-0.022,0.0635,0.672,1.244,0.26,41.94
1590.909,1.0076,-0.0154,0.0623,0.695,1.145,-0.16,41.8
1590.934,1.0034,-0.0173,0.0625,0.626,1.107,0.069,41.75
1590.959,1.0056,-0.0193,0.0659,0.779,1.137,0.0,41.8
1590.984,1.0078,-0.0154,0.0635,0.626,0.763,-0.115,41.8
1591.009,1.0066,-0.0198,0.061,0.702,1.008,0.053,41.89
1591.034,1.0054,-0.0176,0.0569,0.588,0.885,0.13,41.94
1591.059,1.0105,-0.0154,0.0637,0.687,1.176,0.397,41.75
1591.084,1.0029,-0.0125,0.0615,0.565,1.099,-0.168,41.75
1591.109,1.0037,-0.019,0.0581,0.794,1.374,0.0,41.8
1591.134,1.0076,-0.0188,0.0662,0.542,1.344,0.099,41.75
1591.159,1.0066,-0.0203,0.0579,0.832,1.344,-0.046,42.08
1591.184,1.0056,-0.0159,0.0576,0.58,1.153,-0.275,41.75
1591.209,1.0042,-0.019,0.0605,0.931,1.214,-0.084,41.94
1591.234,1.0066,-0.0154,0.0723,0.557,0.954,-0.023,41.99
1591.259,1.0051,-0.022,0.0632,0.939,0.931,-0.038,41.99
1591.284,1.009,-0.0181,0.0613,0.656,1.344,0.031,41.75
1591.309,1.0083,-0.0161,0.0659,0.565,1.305,0.366,41.94
1591.334,1.0095,-0.0205,0.0632,0.557,1.099,-0.038,41.99
1591.359,1.0095,-0.0171,0.0615,0.771,1.183,-0.008,41.94
1591.384,1.0027,-0.0186,0.063,0.542,1.412,0.076,41.75
1591.409,1.0073,-0.0193,0.0654,0.817,1.092,0.0,41.94
1591.434,1.0029,-0.0161,0.0618,0.733,1.076,0.16,41.89
1591.459,1.0056,-0.0215,0.0645,0.45,1.344,0.023,41.8
1591.484,1.0063,-0.0178,0.0591,0.748,1.0,0.0,41.8
1591.509,1.0063,-0.0212,0.063,0.832,0.931,-0.137,41.8
1591.534,1.0034,-0.0168,0.0652,0.679,1.282,0.076,41.94
1591.559,1.0044,-0.0154,0.063,0.626,1.344,0.176,41.75
1591.584,1.0066,-0.0127,0.0618,0.771,0.908,-0.008,41.94
1591.609,1.009,-0.0146,0.0635,0.702,0.885,0.122,41.75
1591.634,1.0032,-0.0137,0.0596,0.832,1.092,0.145,41.94
1591.659,1.002,-0.0139,0.0598,0.496,1.489,-0.16,41.75
1591.684,1.0059,-0.0188,0.0652,0.45,0.87,0.031,41.94
1591.709,1.0049,-0.0127,0.063,0.42,1.382,0.099,41.8
1591.734,1.0071,-0.0139,0.0667,0.908,1.099,-0.076,41.89
1591.759,1.0044,-0.019,0.0625,0.672,1.008,-0.069,41.75
1591.784,1.0017,-0.02,0.0654,0.473,0.756,0.206,41.8
1591.809,1.0085,-0.0198,0.0576,0.481,0.939,0.328,41.8
1591.834,1.0059,-0.0146,0.0654,0.542,1.099,-0.137,41.8
1591.859,1.0071,-0.0166,0.0598,0.695,1.214,0.046,41.8
1591.884,1.0049,-0.0132,0.0657,0.756,1.122,0.183,41.94
1591.909,1.0083,-0.0193,0.0662,0.519,0.954,0.168,41.75
1591.934,1.0051,-0.0176,0.0627,0.664,1.115,0.183,41.89
1591.959,1.0059,-0.0151,0.0637,0.626,1.336,-0.031,41.75
1591.984,1.0046,-0.0203,0.0635,0.718,1.252,0.023,41.71
1592.009,1.0081,-0.0142,0.064,0.473,1.061,0.046,41.8
1592.034,1.0039,-0.0205,0.0654,0.328,1.176,-0.176,41.89
1592.059,1.0068,-0.0151,0.0601,0.641,1.168,0.069,41.89
