t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
4.176,0.9988,-0.147,0.0574,0.725,1.145,-0.26,18.03
4.201,0.9985,-0.1497,0.0579,0.641,1.092,-0.214,18.03
4.226,1.0022,-0.1501,0.0569,0.626,1.038,-0.176,18.04
4.251,1.0007,-0.1489,0.0547,0.74,1.099,-0.183,18.04
4.276,0.9993,-0.1455,0.0574,0.672,1.084,-0.275,18.02
4.301,1.0007,-0.1492,0.0559,0.664,1.198,-0.229,18.05
4.326,1.0005,-0.1519,0.0537,0.626,1.191,-0.206,18.02
4.351,1.0039,-0.1484,0.0503,0.695,1.153,-0.168,18.03
4.376,0.9998,-0.1504,0.0593,0.649,1.084,-0.328,18.04
4.401,0.999,-0.1536,0.0579,0.672,1.13,-0.229,18.03
4.426,1.0002,-0.1519,0.0593,0.71,1.061,-0.153,18.05
4.451,1.0017,-0.1516,0.0493,0.641,1.038,-0.305,18.01
4.476,1.0024,-0.1497,0.0632,0.695,1.198,-0.267,18.04
4.501,0.9978,-0.1511,0.0525,0.679,1.198,-0.183,18.0
4.526,1.0024,-0.1487,0.0544,0.595,1.107,-0.13,18.05
4.551,1.0042,-0.1509,0.0554,0.634,1.038,-0.229,18.02
4.576,0.9988,-0.1479,0.0532,0.641,1.153,-0.221,18.02
4.601,0.9993,-0.1523,0.0518,0.664,1.214,-0.267,18.03
4.626,1.0059,-0.1509,0.0554,0.664,1.107,-0.336,18.02
4.651,1.001,-0.1504,0.0593,0.733,1.168,-0.237,17.98
4.676,1.002,-0.1541,0.0564,0.702,1.26,-0.16,18.0
4.701,0.998,-0.1489,0.0581,0.641,1.137,-0.336,17.99
4.726,1.0012,-0.1487,0.0574,0.763,1.107,-0.321,18.03
4.751,0.9983,-0.1504,0.0549,0.687,1.137,-0.13,18.0
4.776,1.0,-0.1475,0.061,0.664,1.176,-0.313,17.99
4.801,0.9951,-0.1511,0.054,0.733,1.092,-0.321,18.01
4.826,1.0029,-0.1484,0.052,0.718,1.206,-0.137,18.0
4.851,1.0032,-0.1489,0.0515,0.718,1.031,-0.267,18.02
4.876,0.9995,-0.1531,0.0583,0.573,1.145,-0.282,18.01
4.901,0.9983,-0.146,0.0564,0.626,1.168,-0.252,18.0
4.926,1.001,-0.1536,0.0554,0.611,1.137,-0.359,18.01
4.951,0.9985,-0.1484,0.0552,0.725,1.16,-0.237,18.02
4.976,0.9993,-0.1465,0.0588,0.618,1.191,-0.26,18.0
5.001,1.0005,-0.1501,0.0598,0.672,1.16,-0.26,18.0
5.026,1.001,-0.1519,0.0588,0.664,1.061,-0.229,18.01
5.051,1.001,-0.1489,0.0583,0.664,1.099,-0.29,17.99
5.076,1.0051,-0.1511,0.0527,0.626,1.176,-0.221,18.0
5.101,1.0044,-0.1458,0.0552,0.664,1.069,-0.191,17.99
5.126,1.0012,-0.1487,0.0522,0.672,1.084,-0.252,18.0
5.151,1.0012,-0.1504,0.0549,0.725,1.107,-0.229,17.98
