t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
3.476,1.0054,-0.0342,0.0669,0.641,1.061,-0.13,25.55
3.501,1.0083,-0.0356,0.0654,0.641,1.115,-0.099,25.57
3.526,1.0076,-0.0393,0.0693,0.634,1.015,-0.031,25.56
3.551,1.01,-0.0342,0.062,0.595,1.13,-0.214,25.55
3.576,1.0066,-0.0378,0.0686,0.626,0.985,-0.053,25.58
3.601,1.0093,-0.0339,0.062,0.679,1.046,-0.084,25.55
3.626,1.0088,-0.033,0.0684,0.626,1.084,-0.145,25.6
3.651,1.0078,-0.0359,0.0688,0.656,0.947,-0.13,25.55
3.676,1.0054,-0.0383,0.0627,0.58,1.031,-0.153,25.56
3.701,1.0066,-0.0352,0.0669,0.557,1.115,0.0,25.56
3.726,1.0059,-0.0344,0.0691,0.656,1.0,-0.16,25.56
3.751,1.0068,-0.0317,0.0671,0.71,1.084,-0.145,25.55
3.776,1.0054,-0.0342,0.0647,0.588,1.023,-0.061,25.56
3.801,1.0088,-0.0315,0.0684,0.565,0.992,-0.107,25.59
3.826,1.0061,-0.0327,0.0652,0.603,1.031,-0.069,25.55
3.851,1.0068,-0.0339,0.0674,0.641,1.107,-0.107,25.56
3.876,1.0061,-0.0376,0.0701,0.702,1.061,-0.13,25.57
3.901,1.0039,-0.0366,0.0662,0.595,1.076,-0.023,25.57
3.926,1.0083,-0.0349,0.0605,0.672,1.13,-0.084,25.57
3.951,1.0027,-0.0361,0.0645,0.656,1.076,-0.137,25.56
3.976,1.0066,-0.0339,0.0703,0.618,1.107,-0.145,25.55
4.001,1.0103,-0.0349,0.0698,0.542,1.046,-0.115,25.56
4.026,1.0034,-0.0349,0.0664,0.672,1.099,-0.023,25.6
4.051,1.0085,-0.032,0.0657,0.634,1.099,-0.092,25.56
4.076,1.0085,-0.0369,0.0679,0.649,0.985,-0.13,25.59
4.101,1.0063,-0.0344,0.0627,0.641,1.015,-0.069,25.56
4.126,1.0022,-0.0364,0.0649,0.626,1.115,-0.122,25.57
4.151,1.0078,-0.0374,0.0671,0.626,1.099,-0.092,25.59
4.176,1.0039,-0.0298,0.064,0.611,1.16,-0.069,25.56
4.201,1.0112,-0.033,0.0679,0.595,1.061,-0.13,25.55
4.226,1.0044,-0.0374,0.0684,0.603,1.046,-0.115,25.54
4.251,1.0039,-0.033,0.0652,0.603,1.137,-0.099,25.57
4.276,1.0068,-0.0344,0.0601,0.672,1.122,-0.099,25.56
4.301,1.0051,-0.032,0.0625,0.664,1.13,-0.092,25.6
4.326,1.0027,-0.033,0.0647,0.573,1.031,-0.099,25.56
4.351,1.0054,-0.0374,0.0608,0.664,1.183,-0.145,25.59
4.376,1.0029,-0.0337,0.0686,0.542,1.076,-0.115,25.57
4.401,1.0093,-0.0396,0.0647,0.611,1.084,-0.176,25.56
4.426,1.0049,-0.0371,0.0623,0.641,1.069,0.031,25.58
4.451,1.0068,-0.0349,0.0657,0.656,1.176,-0.137,25.56
4.476,1.0022,-0.0374,0.0674,0.588,1.015,-0.076,25.56
4.501,1.0042,-0.0334,0.0608,0.656,1.008,-0.115,25.56
4.526,1.0042,-0.03,0.062,0.725,1.053,-0.145,25.58
4.551,1.0088,-0.0308,0.0725,0.542,1.092,0.023,25.57
4.576,1.0078,-0.0356,0.0752,0.557,1.061,-0.099,25.58
4.601,1.01,-0.0361,0.0671,0.687,1.122,-0.145,25.56
4.626,1.0071,-0.0388,0.0645,0.58,1.145,-0.115,25.57
4.651,1.0042,-0.0374,0.0652,0.603,0.954,-0.115,25.57
4.676,1.0027,-0.0332,0.0706,0.641,0.962,-0.038,25.56
4.701,1.0081,-0.0352,0.0669,0.527,1.076,0.015,25.56
4.726,1.0054,-0.0374,0.0632,0.649,1.031,-0.084,25.56
4.751,1.0085,-0.0354,0.0669,0.603,1.053,-0.092,25.54
4.776,1.0056,-0.0364,0.0693,0.672,1.076,-0.053,25.55
4.801,1.0042,-0.0349,0.0623,0.641,1.038,-0.031,25.55
4.826,1.0051,-0.033,0.0674,0.634,1.076,-0.13,25.59
4.851,1.0095,-0.0369,0.0679,0.611,1.069,-0.122,25.58
4.876,1.0051,-0.0369,0.0676,0.649,1.191,-0.046,25.56
4.901,1.0066,-0.0334,0.0674,0.527,1.115,-0.099,25.56
4.926,1.0059,-0.0293,0.0559,0.656,0.992,-0.145,25.58
4.951,1.0068,-0.0378,0.0647,0.71,1.038,-0.061,25.57
4.976,1.0059,-0.0359,0.0645,0.718,1.053,-0.076,25.57
5.001,1.0056,-0.0322,0.0627,0.664,1.031,-0.069,25.54
5.026,1.0078,-0.0359,0.062,0.641,1.153,-0.092,25.57
5.051,1.0103,-0.0325,0.0664,0.672,1.038,-0.115,25.57
5.076,1.0107,-0.0349,0.0654,0.588,1.107,-0.015,25.57
5.101,1.0063,-0.0349,0.0642,0.611,1.0,-0.084,25.53
5.126,1.0049,-0.0334,0.0659,0.656,1.0,-0.046,25.56
5.151,1.0063,-0.0361,0.0627,0.626,1.069,-0.099,25.56
5.176,1.0039,-0.0366,0.0676,0.588,1.137,-0.221,25.55
5.201,1.0029,-0.0369,0.0662,0.679,1.16,-0.137,25.56
5.226,1.0076,-0.032,0.0613,0.649,1.084,-0.084,25.55
5.251,1.0061,-0.0371,0.0664,0.656,0.947,-0.137,25.54
5.276,1.0044,-0.0376,0.073,0.626,1.084,-0.084,25.55
5.301,1.0034,-0.0366,0.0686,0.573,1.015,-0.084,25.57
5.326,1.0049,-0.0378,0.0671,0.573,1.115,-0.137,25.56
5.351,1.0049,-0.0361,0.0591,0.641,1.046,-0.206,25.56
5.376,1.0042,-0.0364,0.0706,0.679,1.13,-0.038,25.53
5.401,1.0073,-0.0361,0.0745,0.626,1.16,-0.107,25.53
5.426,1.0034,-0.0356,0.0654,0.565,1.046,-0.115,25.55
5.451,1.0054,-0.0354,0.0671,0.641,1.0,-0.137,25.55
5.476,1.0085,-0.0361,0.0649,0.634,1.137,-0.092,25.55
5.501,1.0044,-0.0378,0.0652,0.565,1.092,0.053,25.54
5.526,1.0068,-0.0361,0.0642,0.656,1.191,-0.13,25.54
5.551,1.0061,-0.03,0.0671,0.641,0.939,-0.206,25.53
5.576,1.009,-0.0349,0.0625,0.664,1.145,-0.084,25.53
5.601,1.0063,-0.0354,0.0679,0.634,1.13,-0.031,25.55
5.626,1.0017,-0.0371,0.0715,0.55,1.107,-0.084,25.56
5.651,1.0059,-0.0325,0.0581,0.527,1.153,-0.084,25.55
5.676,1.0049,-0.0364,0.0601,0.519,1.214,-0.168,25.55
5.701,1.0034,-0.0361,0.0647,0.603,1.115,0.015,25.55
5.726,1.0059,-0.0378,0.0654,0.71,1.031,-0.092,25.54
5.751,1.0061,-0.0337,0.0649,0.641,1.023,-0.229,25.53
5.776,1.0054,-0.0369,0.0659,0.58,1.176,-0.031,25.54
5.801,1.0071,-0.0378,0.0649,0.588,1.153,-0.176,25.52
5.826,1.0054,-0.0347,0.0706,0.611,1.084,-0.115,25.54
5.851,1.0037,-0.033,0.0586,0.618,1.122,-0.145,25.51
5.876,1.0061,-0.0327,0.0657,0.618,1.046,-0.107,25.53
5.901,1.0042,-0.0339,0.0635,0.611,1.13,0.008,25.53
5.926,1.0059,-0.0356,0.063,0.618,1.107,-0.153,25.55
5.951,1.0056,-0.0356,0.0608,0.595,1.183,-0.069,25.53
5.976,1.0046,-0.0403,0.0583,0.634,1.084,-0.115,25.52
6.001,1.0071,-0.0347,0.0732,0.618,0.992,-0.122,25.52
6.026,1.0083,-0.0349,0.0645,0.641,0.908,0.0,25.53
6.051,1.0076,-0.0352,0.0659,0.588,1.115,-0.107,25.57
6.076,1.0061,-0.0325,0.062,0.634,1.107,-0.107,25.51
6.101,1.0046,-0.0337,0.0681,0.641,1.061,-0.13,25.53
6.126,1.0037,-0.0334,0.0645,0.664,1.015,-0.046,25.53
6.151,1.0042,-0.0332,0.0654,0.618,1.084,-0.122,25.52
6.176,1.0002,-0.0339,0.0627,0.626,1.153,0.038,25.52
6.201,1.0066,-0.0337,0.064,0.641,1.16,-0.13,25.53
6.226,1.0051,-0.0332,0.0676,0.588,1.092,-0.092,25.54
