t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
3.102,0.9993,0.0098,0.126,0.58,1.115,-0.198,43.6
3.127,0.9978,0.0054,0.1311,0.679,1.046,-0.023,43.59
3.152,0.9976,0.0059,0.1208,0.595,1.099,-0.107,43.57
3.177,0.9976,0.0085,0.1309,0.618,0.817,-0.069,43.57
3.202,0.9949,0.0078,0.1287,0.626,0.992,-0.069,43.58
3.227,0.9961,0.0085,0.1265,0.595,1.137,-0.038,43.56
3.252,0.9937,0.0061,0.1265,0.687,0.969,-0.122,43.6
3.277,0.9993,0.0085,0.1328,0.634,1.069,-0.069,43.57
3.302,1.001,0.0042,0.1309,0.664,1.061,-0.137,43.57
3.327,1.0,0.0029,0.1245,0.618,1.023,-0.061,43.59
3.352,0.9976,0.0066,0.1323,0.656,1.168,-0.122,43.57
3.377,0.9983,0.0063,0.1355,0.573,1.153,-0.137,43.57
3.402,0.9954,0.0081,0.1257,0.641,1.069,-0.191,43.58
3.427,1.0015,0.0056,0.1221,0.641,1.061,-0.13,43.59
3.452,0.9939,0.0078,0.1323,0.626,0.985,-0.038,43.57
3.477,1.0049,0.0059,0.1299,0.618,0.992,-0.046,43.59
3.502,0.9966,0.0024,0.1294,0.626,1.053,-0.168,43.59
3.527,1.001,0.0061,0.1299,0.664,0.969,0.053,43.57
3.552,1.0002,0.0078,0.1321,0.557,1.084,-0.145,43.55
3.577,0.9971,0.0066,0.1213,0.634,1.099,-0.183,43.6
3.602,0.9968,0.0054,0.1272,0.557,1.0,-0.092,43.59
3.627,0.9998,0.0049,0.1301,0.649,1.069,-0.099,43.59
3.652,1.0005,0.0054,0.1218,0.626,0.992,-0.153,43.57
3.677,1.0029,0.0061,0.1272,0.679,1.107,-0.046,43.57
3.702,0.9956,0.0049,0.1287,0.718,1.023,-0.031,43.58
3.727,1.001,0.0071,0.1274,0.626,1.107,-0.053,43.58
3.752,0.998,0.0059,0.1306,0.626,1.16,-0.008,43.59
3.777,0.998,0.0095,0.1323,0.618,1.107,-0.038,43.59
3.802,0.998,0.0088,0.1211,0.55,0.924,-0.176,43.59
3.827,1.0002,0.0088,0.1255,0.71,1.038,-0.122,43.6
3.852,0.9978,0.0049,0.1299,0.603,1.107,-0.107,43.58
3.877,1.0005,0.0068,0.1226,0.618,0.954,-0.13,43.58
3.902,0.9976,0.0051,0.1277,0.565,1.13,-0.176,43.59
3.927,1.0002,0.0071,0.1301,0.634,1.084,-0.107,43.58
3.952,0.9958,0.0063,0.127,0.649,1.153,-0.137,43.57
3.977,1.0024,0.0095,0.1252,0.634,1.176,-0.13,43.59
4.002,0.9973,0.0076,0.127,0.74,1.099,-0.122,43.58
4.027,0.9988,0.0044,0.1311,0.695,1.16,-0.061,43.58
4.052,0.9995,0.0063,0.1257,0.656,1.076,-0.099,43.57
4.077,1.0027,0.0063,0.1248,0.603,1.061,-0.191,43.57
4.102,0.9951,0.0054,0.1289,0.618,1.069,-0.023,43.56
4.127,0.9976,0.0056,0.1262,0.656,1.092,-0.053,43.59
4.152,1.0017,0.002,0.1289,0.756,1.099,-0.145,43.58
4.177,0.9995,0.0034,0.1292,0.687,1.015,-0.183,43.62
4.202,0.9968,0.0117,0.1274,0.672,1.145,-0.084,43.59
4.227,1.0022,0.0051,0.1277,0.611,1.099,-0.076,43.6
4.252,0.9978,0.0066,0.1243,0.634,1.015,-0.137,43.56
4.277,1.0017,0.0068,0.1255,0.649,1.069,-0.023,43.57
4.302,0.9966,0.0039,0.1296,0.641,1.008,-0.084,43.6
4.327,1.0039,0.0059,0.1313,0.603,1.076,-0.168,43.61
4.352,0.9954,0.0066,0.1284,0.702,1.015,-0.099,43.59
4.377,0.9995,0.0049,0.1252,0.626,1.145,-0.038,43.62
4.402,0.9993,0.0039,0.1279,0.71,1.046,-0.115,43.61
4.427,0.9963,0.0034,0.1284,0.603,1.008,-0.122,43.59
4.452,0.999,0.0044,0.124,0.603,1.061,-0.092,43.59
4.477,1.0005,0.0056,0.1299,0.603,1.107,-0.145,43.59
4.502,0.998,0.0034,0.1277,0.733,1.0,-0.122,43.57
4.527,1.0027,0.0059,0.1226,0.641,1.099,-0.107,43.59
4.552,0.9954,0.0022,0.1311,0.588,1.122,-0.137,43.56
4.577,0.9988,0.01,0.1267,0.618,0.992,-0.084,43.57
4.602,0.9978,0.0098,0.1255,0.626,1.046,-0.153,43.58
4.627,0.9983,0.0063,0.1265,0.687,1.053,-0.061,43.6
4.652,1.0005,0.0046,0.1316,0.626,1.053,0.008,43.59
4.677,0.9958,0.0039,0.1272,0.58,1.145,-0.099,43.59
4.702,0.9983,0.0056,0.1206,0.626,0.992,-0.183,43.59
4.727,0.9971,0.0046,0.1274,0.565,1.023,-0.031,43.58
4.752,1.0,0.0056,0.127,0.672,1.153,-0.191,43.56
4.777,0.9995,0.0063,0.1306,0.588,1.16,-0.122,43.58
4.802,1.0002,0.0039,0.127,0.58,0.924,-0.115,43.59
4.827,0.9966,0.0049,0.1316,0.634,1.015,-0.137,43.59
4.852,0.9976,0.0063,0.1316,0.656,0.992,-0.053,43.59
4.877,0.9993,0.0063,0.1289,0.656,1.107,-0.153,43.55
4.902,0.9937,0.0056,0.1216,0.695,1.153,-0.16,43.59
4.927,1.0005,0.0081,0.1292,0.634,1.015,-0.107,43.56
4.952,0.9939,0.0076,0.1213,0.649,1.115,-0.145,43.57
4.977,0.9946,0.0063,0.1191,0.702,1.107,-0.046,43.58
5.002,0.9978,0.0027,0.1272,0.664,1.069,-0.061,43.61
5.027,1.0007,0.0044,0.1292,0.664,1.076,-0.115,43.58
5.052,0.9973,0.0061,0.1345,0.618,1.069,-0.13,43.59
5.077,1.0002,0.0042,0.1223,0.603,0.985,-0.168,43.57
5.102,0.9988,0.0061,0.1396,0.557,0.939,-0.053,43.59
5.127,0.9985,0.0117,0.1208,0.603,1.183,-0.084,43.57
5.152,0.9983,0.0081,0.127,0.649,1.046,-0.115,43.6
5.177,0.9988,0.0034,0.1252,0.626,1.076,-0.084,43.58
5.202,0.9963,0.0078,0.1262,0.603,1.015,-0.076,43.58
5.227,1.0029,0.0027,0.1265,0.733,1.092,-0.061,43.58
5.252,0.9978,0.0042,0.1301,0.664,1.084,-0.107,43.58
5.277,0.9983,0.0068,0.1289,0.649,1.053,-0.084,43.59
5.302,0.9983,0.0061,0.127,0.695,1.099,-0.061,43.59
5.327,0.9949,0.0081,0.1223,0.588,1.137,-0.13,43.59
5.352,0.9985,0.0066,0.1296,0.626,1.153,-0.008,43.6
5.377,0.9956,0.0071,0.1296,0.611,1.061,-0.008,43.59
5.402,0.9968,0.0037,0.1267,0.656,1.069,-0.053,43.6
5.427,0.9985,0.0037,0.123,0.55,0.977,-0.252,43.59
5.452,0.9971,0.0059,0.1316,0.672,1.13,-0.084,43.59
5.477,0.999,0.0088,0.1299,0.649,1.038,-0.168,43.58
5.502,0.9946,0.0059,0.1218,0.687,1.13,-0.099,43.57
5.527,0.9968,0.0093,0.1274,0.664,1.099,-0.122,43.57
5.552,0.9961,0.0051,0.1238,0.618,1.023,-0.061,43.6
5.577,0.9954,0.0051,0.1316,0.634,1.046,-0.023,43.58
5.602,0.9961,0.0078,0.1311,0.542,1.153,-0.076,43.59
5.627,0.9949,0.0002,0.1223,0.611,1.038,-0.046,43.59
5.652,0.999,0.0049,0.1265,0.664,1.015,-0.115,43.59
5.677,0.999,0.0088,0.1277,0.695,1.008,-0.122,43.58
5.702,0.9995,0.0034,0.1226,0.641,0.985,-0.115,43.58
