t,gz_dps
2.851387,0.0
2.856376,-0.061069
2.861387,-0.145038
2.866376,-0.083969
2.871387,-0.030534
2.876376,0.007634
2.881387,-0.045802
2.886376,-0.030534
2.891387,-0.045802
2.896376,-0.045802
2.901387,-0.145038
2.906376,0.015267
2.911387,0.015267
2.916376,-0.007634
2.921387,-0.015267
2.926376,-0.114504
2.931387,-0.145038
2.936376,-0.045802
2.941387,-0.015267
2.946376,-0.053435
2.951387,-0.045802
2.956376,0.038168
2.961387,-0.053435
2.966376,-0.099237
2.971387,-0.015267
2.976376,-0.053435
2.981387,-0.083969
2.986376,-0.061069
2.991387,-0.099237
2.996376,-0.122137
3.001387,-0.129771
3.006376,-0.022901
3.011387,-0.10687
3.016376,-0.068702
3.021387,-0.030534
3.026376,-0.122137
3.031387,-0.099237
3.036376,-0.10687
3.041387,-0.129771
3.046376,-0.152672
3.051387,-0.030534
3.056376,0.0
3.061387,-0.045802
3.066376,-0.030534
3.071387,-0.137405
3.076376,-0.091603
3.081387,-0.068702
3.086376,-0.10687
3.091387,-0.022901
3.096376,-0.068702
3.101387,-0.129771
3.106376,-0.167939
3.111387,-0.022901
3.116376,-0.053435
3.121387,-0.122137
3.126376,-0.076336
3.131387,-0.114504
3.136376,-0.061069
3.141387,-0.129771
3.146376,-0.045802
3.151387,-0.061069
3.156376,-0.091603
3.161387,-0.030534
3.166376,-0.076336
3.171387,-0.152672
3.176376,-0.091603
3.181387,0.076336
3.186376,-0.030534
3.191387,-0.129771
3.196376,-0.099237
3.201387,-0.061069
3.206376,-0.007634
3.211387,0.0
3.216376,-0.068702
3.221387,-0.152672
3.226376,-0.175573
3.231387,-0.061069
3.236376,-0.038168
3.241387,-0.022901
3.246376,-0.030534
3.251387,-0.076336
3.256376,-0.068702
3.261387,-0.160305
3.266376,-0.129771
3.271387,-0.038168
3.276376,-0.10687
3.281387,-0.053435
3.286376,-0.015267
3.291387,-0.045802
3.296376,-0.076336
3.301387,-0.114504
3.306376,-0.198473
3.311387,-0.114504
3.316376,-0.137405
3.321387,-0.083969
3.326376,-0.091603
3.331387,-0.122137
3.336376,-0.145038
3.341387,-0.175573
3.346376,-0.145038
3.351387,-0.129771
3.356376,-0.076336
3.361387,-0.10687
3.366376,-0.145038
3.371387,-0.10687
3.376376,-0.129771
3.381387,-0.091603
3.386376,-0.122137
3.391387,-0.083969
3.396376,-0.114504
3.401387,-0.114504
3.406376,-0.061069
3.411387,0.030534
3.416376,-0.015267
3.421387,0.015267
3.426376,-0.099237
3.431387,-0.152672
3.436376,-0.160305
3.441387,-0.160305
3.446376,-0.099237
3.451387,-0.114504
3.456376,-0.015267
3.461387,-0.030534
3.466376,-0.030534
3.471387,0.022901
3.476376,-0.091603
3.481387,-0.053435
3.486376,-0.068702
3.491387,-0.053435
3.496376,0.0
3.501387,-0.022901
3.506376,-0.167939
3.511387,-0.129771
3.516376,-0.167939
3.521387,-0.10687
3.526376,-0.10687
3.531387,-0.083969
3.536376,0.0
3.541387,0.0
3.546376,-0.091603
3.551387,-0.015267
3.556376,-0.015267
3.561387,-0.061069
3.566376,-0.061069
3.571387,-0.068702
3.576376,-0.091603
3.581387,-0.152672
