t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
4.302,0.9888,-0.0034,0.1875,0.611,1.076,-0.206,42.54
4.327,0.9897,-0.0056,0.1821,0.565,1.122,-0.046,42.54
4.352,0.9956,-0.0034,0.1848,0.71,0.985,-0.084,42.54
4.377,0.9929,-0.0071,0.1851,0.634,1.099,-0.038,42.53
4.402,0.9929,-0.0056,0.1792,0.71,1.038,-0.038,42.55
4.427,0.9907,-0.0083,0.1855,0.611,1.107,-0.046,42.52
4.452,0.9841,-0.0073,0.1899,0.725,1.061,-0.183,42.56
4.477,0.991,-0.0037,0.1836,0.672,1.092,-0.092,42.53
4.502,0.9902,-0.0027,0.1865,0.649,1.053,-0.008,42.56
4.527,0.9917,-0.0042,0.1851,0.634,1.099,-0.115,42.53
4.552,0.9902,-0.0039,0.1912,0.672,1.084,-0.046,42.53
4.577,0.9888,-0.0051,0.1855,0.664,1.031,-0.038,42.54
4.602,0.9895,-0.0012,0.1863,0.588,1.061,-0.122,42.54
4.627,0.988,-0.0042,0.1833,0.664,1.061,-0.076,42.56
4.652,0.991,-0.0049,0.1875,0.649,1.061,-0.069,42.56
4.677,0.9885,-0.0073,0.1855,0.626,1.092,-0.061,42.52
4.702,0.9907,-0.0042,0.1885,0.672,0.985,-0.16,42.54
4.727,0.9907,-0.0085,0.189,0.702,1.115,-0.092,42.52
4.752,0.9895,-0.0039,0.187,0.641,1.015,-0.046,42.55
4.777,0.989,-0.0042,0.1875,0.71,0.962,-0.061,42.52
4.802,0.9929,-0.0059,0.1853,0.71,1.038,-0.092,42.55
4.827,0.9927,-0.0078,0.1826,0.649,1.053,-0.153,42.53
4.852,0.9893,-0.0024,0.187,0.634,1.069,-0.092,42.54
4.877,0.99,-0.0017,0.1912,0.71,1.084,-0.107,42.55
4.902,0.9915,-0.0068,0.1792,0.618,1.015,-0.092,42.56
4.927,0.991,-0.0073,0.1853,0.58,1.015,0.0,42.53
4.952,0.9934,-0.0034,0.1855,0.611,1.076,-0.13,42.54
4.977,0.9927,-0.0039,0.1924,0.664,1.092,-0.168,42.57
5.002,0.9897,-0.0051,0.1851,0.611,1.084,-0.069,42.55
5.027,0.9907,-0.0105,0.1836,0.695,1.015,-0.061,42.54
5.052,0.9912,-0.0044,0.188,0.672,1.023,-0.122,42.54
5.077,0.9927,-0.0012,0.1824,0.656,1.107,-0.046,42.53
5.102,0.9871,-0.0042,0.1855,0.595,1.053,-0.092,42.54
5.127,0.9883,-0.0061,0.1853,0.656,1.13,-0.115,42.54
5.152,0.9871,-0.0061,0.1848,0.679,0.992,0.038,42.55
5.177,0.9927,-0.0056,0.1855,0.618,0.992,-0.092,42.54
5.202,0.9902,-0.0037,0.1904,0.733,1.0,-0.145,42.56
5.227,0.9958,-0.0056,0.1875,0.618,1.099,-0.145,42.54
5.252,0.9902,-0.0012,0.1836,0.771,1.061,-0.122,42.54
5.277,0.9912,-0.0066,0.1912,0.702,1.015,-0.115,42.55
5.302,0.9917,-0.0083,0.1814,0.641,1.015,-0.244,42.54
5.327,0.9888,-0.0042,0.1826,0.702,1.137,0.0,42.54
5.352,0.9919,-0.0044,0.189,0.672,1.122,-0.038,42.55
5.377,0.9895,-0.0034,0.1902,0.687,1.053,-0.046,42.51
5.402,0.9897,-0.0015,0.1843,0.611,1.13,-0.092,42.5
5.427,0.9902,-0.0027,0.1858,0.702,1.023,-0.038,42.55
5.452,0.9897,-0.001,0.1887,0.634,1.168,-0.16,42.54
5.477,0.9895,-0.0022,0.1851,0.656,1.061,-0.008,42.55
5.502,0.9954,-0.0066,0.1809,0.634,1.038,-0.076,42.54
5.527,0.9941,-0.0068,0.1826,0.679,1.092,-0.061,42.53
5.552,0.9893,-0.0071,0.1807,0.649,1.183,-0.084,42.53
5.577,0.9868,-0.0061,0.1848,0.74,1.084,-0.061,42.55
5.602,0.9888,-0.0061,0.1865,0.718,1.046,-0.092,42.54
5.627,0.9941,-0.0063,0.1904,0.718,1.0,-0.137,42.54
5.652,0.9917,-0.0017,0.1814,0.695,1.031,-0.099,42.52
5.677,0.989,-0.0051,0.1926,0.679,1.053,-0.107,42.52
5.702,0.9924,-0.0046,0.1858,0.611,1.115,-0.13,42.54
5.727,0.9922,-0.0049,0.1836,0.718,1.069,-0.137,42.52
5.752,0.9902,-0.0066,0.1919,0.626,1.076,-0.038,42.54
5.777,0.988,-0.0034,0.1909,0.634,1.061,-0.061,42.52
5.802,0.9907,-0.0032,0.186,0.74,1.023,-0.076,42.52
5.827,0.9893,-0.0027,0.1875,0.687,1.198,-0.122,42.54
5.852,0.9905,-0.0046,0.1873,0.718,1.046,-0.153,42.54
5.877,0.9941,-0.0056,0.1882,0.679,1.122,-0.115,42.54
5.902,0.9924,-0.0046,0.1804,0.618,1.107,-0.053,42.52
5.927,0.9922,-0.0078,0.1858,0.679,0.962,-0.053,42.52
5.952,0.9895,-0.0063,0.1899,0.664,1.061,0.008,42.54
5.977,0.9905,-0.0056,0.1809,0.641,1.015,-0.122,42.52
6.002,0.989,0.0015,0.1809,0.687,1.023,-0.084,42.51
6.027,0.9897,-0.0005,0.1848,0.672,1.092,-0.099,42.53
6.052,0.9934,-0.0056,0.1855,0.656,1.038,-0.084,42.54
6.077,0.9875,-0.0039,0.188,0.672,0.962,-0.092,42.53
6.102,0.9888,-0.009,0.1824,0.672,1.015,-0.137,42.52
6.127,0.9912,-0.0039,0.1843,0.748,1.015,-0.16,42.52
6.152,0.9866,-0.0073,0.187,0.595,1.176,-0.115,42.53
6.177,0.9893,-0.0042,0.1838,0.649,1.031,-0.153,42.55
6.202,0.9868,-0.0037,0.1877,0.687,1.092,-0.122,42.53
6.227,0.9912,-0.0022,0.1895,0.695,1.008,-0.092,42.54
6.252,0.9915,-0.0029,0.1877,0.634,1.069,-0.191,42.55
6.277,0.9863,-0.0061,0.1853,0.718,1.031,-0.107,42.52
6.302,0.9893,-0.0054,0.1909,0.687,1.008,-0.137,42.52
6.327,0.9912,-0.0017,0.1887,0.71,0.977,-0.099,42.54
6.352,0.9915,-0.0022,0.1851,0.618,1.038,-0.084,42.51
6.377,0.9924,-0.0051,0.1921,0.58,1.015,-0.038,42.54
6.402,0.988,-0.0039,0.1907,0.656,1.122,-0.084,42.55
6.427,0.9919,-0.001,0.186,0.649,1.053,-0.076,42.54
6.452,0.9912,-0.0002,0.1875,0.679,1.099,-0.046,42.52
6.477,0.9897,-0.0032,0.1892,0.603,1.053,-0.221,42.54
6.502,0.9905,-0.0093,0.1853,0.573,1.084,-0.092,42.53
6.527,0.9907,-0.0015,0.1833,0.511,1.061,-0.031,42.55
6.552,0.9912,-0.0063,0.188,0.634,1.046,-0.038,42.53
6.577,0.9893,-0.0066,0.1887,0.672,1.137,-0.076,42.54
6.602,0.9888,-0.0049,0.1868,0.702,1.122,-0.046,42.56
6.627,0.9871,-0.0046,0.1855,0.672,1.038,-0.023,42.52
6.652,0.9878,-0.0054,0.1902,0.618,0.992,-0.069,42.51
6.677,0.9912,-0.0042,0.1846,0.664,1.008,-0.16,42.52
6.702,0.9885,-0.0022,0.1843,0.641,1.038,-0.092,42.52
6.727,0.9895,-0.0051,0.186,0.664,1.038,-0.099,42.56
6.752,0.9888,-0.0085,0.1829,0.641,1.053,-0.046,42.52
6.777,0.9866,-0.0042,0.1794,0.573,1.053,-0.069,42.53
6.802,0.9897,-0.0042,0.1853,0.656,1.099,-0.038,42.54
6.827,0.9897,-0.0056,0.1912,0.672,1.145,-0.038,42.55
6.852,0.9885,-0.0039,0.186,0.664,0.985,-0.023,42.54
6.877,0.9888,-0.0066,0.1843,0.626,1.069,-0.046,42.56
6.902,0.9919,-0.0037,0.188,0.664,1.031,-0.046,42.52
6.927,0.9883,-0.0093,0.1914,0.664,0.985,-0.008,42.54
6.952,0.9912,-0.0054,0.1838,0.618,0.947,-0.046,42.54
6.977,0.9939,-0.0056,0.1865,0.687,1.16,-0.084,42.52
7.002,0.9873,-0.0034,0.1855,0.649,1.053,-0.069,42.51
7.027,0.9878,-0.0007,0.1887,0.664,0.962,-0.076,42.54
7.052,0.9912,-0.0032,0.1848,0.649,1.038,-0.122,42.52
7.077,0.9922,-0.0022,0.1848,0.611,1.092,-0.061,42.53
7.102,0.9895,-0.0029,0.1814,0.573,1.061,-0.023,42.55
7.127,0.9917,-0.0063,0.187,0.55,1.069,-0.069,42.54
7.152,0.989,-0.0068,0.1873,0.603,1.053,-0.092,42.55
7.177,0.9956,-0.0071,0.1843,0.595,1.015,-0.092,42.52
7.202,0.9915,-0.0046,0.1914,0.672,1.076,-0.107,42.54
7.227,0.9939,-0.0063,0.1873,0.748,1.023,-0.115,42.55
7.252,0.9905,-0.0076,0.1851,0.718,1.107,-0.145,42.53
7.277,0.9929,-0.0034,0.186,0.649,0.939,-0.069,42.55
7.302,0.9897,-0.0029,0.1841,0.649,0.924,-0.191,42.53
7.327,0.9905,-0.0051,0.1843,0.626,1.145,-0.13,42.52
7.352,0.991,-0.0059,0.1877,0.656,0.939,-0.16,42.54
7.377,0.9861,-0.001,0.1836,0.611,1.122,-0.076,42.54
7.402,0.9949,-0.0029,0.1875,0.634,1.046,-0.168,42.53
7.427,0.9905,-0.0056,0.1831,0.672,1.061,-0.107,42.57
7.452,0.99,-0.0066,0.1887,0.71,1.008,-0.031,42.54
7.477,0.989,-0.0039,0.1858,0.603,1.084,-0.099,42.53
7.502,0.989,-0.0044,0.1833,0.672,0.992,-0.153,42.53
7.527,0.9915,-0.0039,0.1843,0.641,1.076,-0.115,42.54
