# purpose,attitude fusion experiment
# label,level_static
# sample_hz,50
# duration_s,60
# sda_gpio,21
# scl_gpio,22
# wifi,off
t_ms,label,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,mx_raw,my_raw,mz_raw
4040,level_static,-0.039063,0.023438,1.021240,43.698,0.267176,0.984733,-0.053435,223,207,260
4060,level_static,-0.033203,0.014893,1.022217,43.686,0.213740,0.793893,-0.106870,223,208,261
4080,level_static,-0.034424,0.019531,1.021484,43.745,0.213740,0.931298,-0.122137,223,208,261
4100,level_static,-0.033203,0.013672,1.017090,43.712,0.335878,0.893130,-0.152672,223,208,261
4120,level_static,-0.033447,0.015381,1.022949,43.701,0.267176,0.946565,-0.007634,223,208,261
4140,level_static,-0.034180,0.013672,1.022705,43.718,0.160305,0.916031,-0.129771,222,208,260
4160,level_static,-0.034424,0.015381,1.023926,43.733,0.183206,0.916031,-0.190840,222,208,260
4181,level_static,-0.035889,0.018555,1.022217,43.715,0.229008,0.862595,-0.099237,222,208,260
4200,level_static,-0.033936,0.014648,1.018799,43.704,0.251908,1.030534,-0.114504,223,208,260
4220,level_static,-0.033691,0.016602,1.027832,43.739,0.244275,1.106870,-0.106870,223,208,260
4241,level_static,-0.034180,0.014404,1.027832,43.701,0.251908,0.885496,-0.190840,223,208,260
4260,level_static,-0.031250,0.013672,1.020996,43.733,0.229008,0.900763,-0.068702,223,207,262
4280,level_static,-0.031250,0.012451,1.029541,43.739,0.251908,0.908397,-0.076336,222,207,262
4300,level_static,-0.034180,0.013672,1.023682,43.718,0.213740,1.022901,-0.213740,222,207,262
4320,level_static,-0.033691,0.016602,1.027344,43.715,0.091603,0.931298,-0.099237,222,207,262
4340,level_static,-0.033691,0.013428,1.025391,43.715,0.259542,1.015267,-0.015267,223,207,260
4360,level_static,-0.037842,0.012207,1.028809,43.704,0.206107,1.000000,-0.106870,223,207,260
4380,level_static,-0.030518,0.017578,1.030762,43.754,0.328244,0.870229,-0.129771,223,207,260
