index,t_s,source_file,gps_lat,gps_lon,gps_alt_m,gps_e_m,gps_n_m,gps_u_m,eskf_lat,eskf_lon,eskf_alt_m,eskf_e_m,eskf_n_m,eskf_u_m,vel_e_mps,vel_n_mps,vel_u_mps,yaw_deg,sigma_e_m,sigma_n_m,sigma_u_m,innovation_xy_m,gps_update_accepted,satellites,hdop
610,712.255,gps_nmea_0002.txt,26.030410833333335,119.194374,10.2,131.37272700907133,-10.04102689194205,-9.115000000000002,26.030398858598005,119.19437183249742,10.170203353428253,131.15591757220832,-11.374048331165252,-9.144796646571749,1.230037396432862,-0.28631488171396247,0.2818895703068295,0.0,3.511194132328531,3.511194132328531,5.1569757173227,2.0468469547909347,1,5,2.15
611,713.255,gps_nmea_0002.txt,26.0304115,119.19438583333334,10.2,132.55638343418883,-9.966813898267237,-9.115000000000002,26.030401478991994,119.19438471103494,10.38028706041998,132.44412295115916,-11.082347406604445,-8.934712939580022,1.24230405581105,-0.1644209685360514,0.2696834631354199,0.0,3.5169599674166934,3.5169599674166934,5.163576315909244,1.7021031528352286,1,5,2.15
612,714.258,gps_nmea_0002.txt,26.0304115,119.19438866666665,9.8,132.8397941250843,-9.966813898267237,-9.515,26.030403934658544,119.19439425808574,10.407837865501286,133.39908869850814,-10.808983856700358,-8.907162134498716,1.1809664522526113,-0.07206053899894602,0.2284025884848937,0.0,3.5220076064398285,3.5220076064398285,5.170035046065186,1.5370940744298487,1,5,2.15
613,715.316,gps_nmea_0002.txt,26.030412166666665,119.19440016666667,9.8,133.99010811581158,-9.892600904592424,-9.515,26.030406352267743,119.19440445897968,10.403350443476976,134.41945661086487,-10.539856831833156,-8.911649556523026,1.1328841899438091,0.0004249352325492589,0.18668910058042498,0.0,3.550951904263326,3.550951904263326,5.207882405313339,1.1911539474477353,1,5,2.15
614,716.259,gps_nmea_0002.txt,26.03041166666667,119.19440816666665,9.7,134.790326541177,-9.948260649453045,-9.615000000000002,26.030408164812457,119.1944127642158,10.328984346375574,135.25020698449887,-10.33808527721318,-8.986015653624428,1.0829130174900805,0.0427837569293401,0.1442096148955161,0.0,3.513413248350482,3.513413248350482,5.162824993777994,0.914294504720562,1,5,2.15
615,717.2950000000001,gps_nmea_0002.txt,26.03041166666667,119.19442099999999,9.7,136.0740102694652,-9.948260649453045,-9.615000000000002,26.030409632843906,119.19442295285944,10.254518768948522,136.26934953461807,-10.174664763817908,-9.06048123105148,1.061323940021832,0.0678061504574795,0.10626583882197116,0.0,3.5344482546413385,3.5344482546413385,5.188578468022905,0.45632345353267273,1,5,2.15
616,718.2560000000001,gps_nmea_0002.txt,26.030424833333335,119.19443449999999,9.7,137.42437886511237,-8.482554020816123,-9.615000000000002,26.030415192061465,119.19443360903874,10.169830394418389,137.33525841417924,-9.555815495996535,-9.145169605581613,1.0710043253079173,0.18438527998022336,0.07456643154851728,0.0,3.5118980446404526,3.5118980446404526,5.160444453570547,1.632548425008121,1,5,2.15
617,719.2570000000001,gps_nmea_0002.txt,26.030424333333332,119.19444816666667,10.1,138.79141868079762,-8.538213766467718,-9.215000000000002,26.030419404630276,119.19444563765485,10.203285517859264,138.53844844711358,-9.086874480992083,-9.111714482140737,1.0986276726131736,0.24429685633187517,0.0675741130650931,0.0,3.517293033297117,3.517293033297117,5.165759589230214,0.9173132828638978,1,5,2.15
618,720.3,gps_nmea_0002.txt,26.030416,119.19446183333334,10.6,140.1584584936399,-9.465876189775793,-8.715000000000002,26.030419723837348,119.19445873308345,10.36783690944884,139.84834885771417,-9.051340512165925,-8.947163090551161,1.1330996090111196,0.1982168708758001,0.08352215573061775,0.0,3.5408417412916076,3.5408417412916076,5.195354124272161,0.7915280873431276,1,5,2.15
619,721.255,gps_nmea_0002.txt,26.030418500000003,119.19447383333333,10.9,141.35878613453104,-9.187577462308788,-8.415000000000001,26.03042042837241,119.19447100960622,10.576364549580832,141.0763363253532,-8.972912028190912,-8.738635450419169,1.163814543312528,0.1748731315937442,0.10537475924324999,0.0,3.5131978533657926,3.5131978533657926,5.1616332891142545,0.5379930975571214,1,5,2.15
620,722.2719999999999,gps_nmea_0002.txt,26.03041316666667,119.19448333333334,11.1,142.30904551749543,-9.781281413289232,-8.215000000000002,26.030418987213817,119.19448301077158,10.802748513039555,142.27678053453965,-9.133341068462485,-8.512251486960446,1.1673597634547734,0.10367857480127177,0.12560434593136655,0.0,3.5257017499567707,3.5257017499567707,5.176426823032595,0.9874373442263195,1,5,2.15
621,723.261,gps_nmea_0002.txt,26.030404666666662,119.19449583333332,11.7,143.55938680855047,-10.727497085806982,-7.615000000000002,26.030414696581108,119.19449499067218,11.147676316964128,143.47509768783573,-9.610972117045497,-8.167323683035873,1.1765819670663817,-0.018482156169087702,0.16306710806313066,0.0,3.5202380443363386,3.5202380443363386,5.169628438894362,1.7015220723915918,1,5,2.15
622,724.26,gps_nmea_0002.txt,26.03039683333333,119.19449933333333,12.1,143.90948237106934,-11.599499763463463,-7.215000000000002,26.03040847436022,119.19450420630577,11.536096649136262,144.39691266317223,-10.303626577852006,-7.778903350863739,1.1231827992127954,-0.1604481990608601,0.2013510939631189,0.0,3.521662505204872,3.521662505204872,5.171136120587313,2.104819169420955,1,5,2.15
623,725.321,gps_nmea_0002.txt,26.0303905,119.19450616666667,12.6,144.59300227891197,-12.304523204956126,-6.715000000000002,26.030401220263776,119.19451265507627,11.996297559015986,145.24202039495185,-11.111148900113825,-7.318702440984015,1.0504731333768134,-0.2941422282071876,0.2431110658237287,0.0,3.551893798037323,3.551893798037323,5.210032273361726,2.08387955091362,1,5,2.15
624,726.26,gps_nmea_0002.txt,26.03039066666667,119.19451766666667,13.1,145.74331626821777,-12.285969956141937,-6.215000000000002,26.030395991735755,119.19452086578961,12.473743681320272,146.06331590988748,-11.693185977053002,-6.841256318679729,1.0157436636242188,-0.3584769042217336,0.2853682005045428,0.0,3.5119916348261833,3.5119916348261833,5.161617617139456,1.0211958987749423,1,5,2.15
625,727.3050000000001,gps_nmea_0002.txt,26.030400333333333,119.19453133333333,13.3,147.11035608106005,-11.209881545484237,-6.015000000000001,26.030395288246883,119.19453142765275,12.9240884328063,147.11979059748836,-11.7714980001858,-6.390911567193701,1.0146982033443281,-0.29624290416624355,0.3111456606374212,0.0,3.5378389836387547,3.5378389836387547,5.193132612708024,0.8580338401710285,1,5,2.15
626,728.258,gps_nmea_0002.txt,26.03039983333333,119.19453183333331,13.9,147.1603697312239,-11.265541291135834,-5.415000000000001,26.030395159662042,119.1945379461897,13.413755481926557,147.77182227212373,-11.785811998886405,-5.901244518073445,0.948371990867132,-0.23980747672138633,0.3439196626981359,0.0,3.5101779146846734,3.5101779146846734,5.158619272478652,1.2164081026616753,1,5,2.15
627,729.255,gps_nmea_0002.txt,26.030407,119.19453883333333,14.8,147.86056085626163,-10.46775160675868,-4.515000000000001,26.030397749933574,119.19454449756499,14.051690426482853,148.4271386754423,-11.497464291246404,-5.263309573517148,0.8871998312012306,-0.12863166536227474,0.3940264564900832,0.0,3.519910011542109,3.519910011542109,5.168868812280901,1.7773006102971147,1,5,2.16
628,730.308,gps_nmea_0002.txt,26.030403500000002,119.19454866666668,15.2,148.84416267503775,-10.857369824342419,-4.115000000000002,26.03039893770561,119.19455205265989,14.677371335768422,149.18285444585783,-11.365242113125479,-4.637628664231579,0.8497059255107763,-0.07240911335777621,0.42974865286101915,0.0,3.55311768393988,3.55311768393988,5.210763671934114,0.9321808117743042,1,5,2.16
