t_s,pressure_pa,temp_c,baro_h_m,kf_h_m,kf_v_mps,sigma_h_m
15.201,100679.594,31.72,-0.2811992272792274,-0.3028575856586382,0.007693410063815483,0.1547408462629013
15.4,100679.891,31.71,-0.306084490591747,-0.3027527822054465,0.006425457598836096,0.15462190864286476
15.6,100679.828,31.71,-0.30080580334119533,-0.30126925563867346,0.006601876328423596,0.1546349240552138
15.801,100679.75,31.71,-0.29427028208527384,-0.298239485275741,0.008115725057304011,0.15474029390765826
16.0,100679.875,31.7,-0.3047438718655915,-0.2990582498691312,0.005951956330677268,0.15462152022971679
16.2,100679.813,31.7,-0.2995489726529965,-0.29837185791433357,0.005503875625736662,0.15463465062568788
16.401,100679.781,31.7,-0.29686773333047034,-0.2971461417651638,0.005610059847507809,0.15474010149354167
16.6,100679.906,31.7,-0.3073413205023301,-0.29942037879417094,0.002595606343012685,0.15462138509809825
16.8,100679.672,31.69,-0.2877347567345656,-0.29555353593274264,0.005571899020761771,0.15463455578362262
17.001,100679.844,31.69,-0.3021464225791992,-0.2967490520052534,0.003513359031769953,0.15474003504352238
17.2,100679.789,31.69,-0.2975380432250829,-0.2964959651844593,0.003116778264534523,0.1546213386687368
17.4,100679.789,31.69,-0.2975380432250829,-0.2963719070379262,0.002672877693729002,0.1546345233698292
17.601,100679.969,31.69,-0.3126200044357108,-0.3008737783620542,-0.0018070937756161937,0.15474001244297272
17.8,100679.844,31.69,-0.3021464225791992,-0.301507070717856,-0.002050410081638551,0.15462132293625305
18.0,100680.5,31.7,-0.35711166280290696,-0.3184644805825756,-0.016761816028819834,0.15463451241063222
18.2,100680.531,31.7,-0.35970909838751286,-0.33317830675468224,-0.026862708312863887,0.15464373847229615
18.4,100680.672,31.71,-0.37152323268581977,-0.34843798076566557,-0.035652833629363,0.1546501809077731
18.6,100680.844,31.72,-0.38593478262633374,-0.3646747263558641,-0.043748642884911246,0.15465467327046842
18.8,100681.344,31.72,-0.42782870996415534,-0.38973977774984425,-0.05825369489997629,0.15465780302347837
19.0,100681.313,31.73,-0.4252312913689771,-0.4085403416663243,-0.06461020442426513,0.15465998286342023
19.2,100681.359,31.73,-0.42908552517878507,-0.42374860045234486,-0.06664275194650975,0.1546615016783293
19.4,100681.359,31.73,-0.42908552517878507,-0.43468039023786265,-0.06451192771674032,0.15466256097827477
19.6,100681.391,31.74,-0.43176673047323977,-0.4428393557809925,-0.06029482198143288,0.15466330089212352
19.8,100681.57,31.74,-0.4467647098325678,-0.4524589374149416,-0.05812610521481587,0.15466381864441575
20.0,100681.57,31.74,-0.4467647098325678,-0.4588897907736217,-0.053508087756057664,0.15466418161358325
20.2,100681.57,31.74,-0.4467647098325678,-0.46274530956273335,-0.04742160989160862,0.154664436499607
20.4,100681.547,31.73,-0.44483759637771847,-0.4640142948955954,-0.04011782022491903,0.1546646157159996
20.6,100681.906,31.73,-0.4749172831890158,-0.4729014485927791,-0.040885588793761404,0.1546647418178799
20.8,100681.484,31.73,-0.43955897942756783,-0.46862610235853286,-0.02981480938943526,0.15466483055340904
21.0,100681.781,31.73,-0.4644438644940063,-0.4715463355918921,-0.027109691933080826,0.15466489295931257
21.2,100681.727,31.73,-0.45991934435429593,-0.471854989149149,-0.022563760414614744,0.1546649367983024
21.4,100681.523,31.72,-0.44282669499318805,-0.466308165946902,-0.013620362625378883,0.1546649675465222
21.6,100681.406,31.72,-0.4330235452153941,-0.4582325675554901,-0.004018987822718355,0.15466498907460668
21.8,100681.766,31.72,-0.46318705354149836,-0.46028123333645515,-0.0051257295351486865,0.15466500412030373
22.0,100681.734,31.72,-0.46050585633818475,-0.4610662875874931,-0.004912277664367644,0.15466501461889368
