t_ms,mx_raw,my_raw,mz_raw,mx_cal,my_cal,mz_cal,inlier
11501,326,156,199,250.283773,245.496418,233.982105,1
11550,326,156,199,250.283773,245.496418,233.982105,1
11600,306,173,204,230.152449,261.849847,239.060159,1
11650,284,188,209,207.986023,276.240336,244.182959,1
11700,261,198,217,184.742691,285.715715,252.429179,1
11750,261,198,217,184.742691,285.715715,252.429179,1
11800,236,197,236,159.287967,284.325116,272.020857,1
11850,202,182,263,124.558351,269.131894,300.013559,1
11900,162,162,290,83.730729,249.024028,328.128183,1
11950,162,162,290,83.730729,249.024028,328.128183,1
12000,145,144,305,66.274223,231.180126,343.779747,1
12050,132,136,310,53.032265,223.230305,349.095318,1
12100,98,136,314,18.643400,222.932958,353.506286,1
12150,98,136,314,18.643400,222.932958,353.506286,1
12200,58,125,322,-21.927477,211.826664,362.182117,1
12250,26,116,321,-54.311218,202.837936,361.597520,1
12300,-5,111,317,-85.625349,197.790146,357.901819,1
12350,-5,111,317,-85.625349,197.790146,357.901819,1
12400,-24,105,316,-104.853898,191.818791,357.149535,1
12450,-42,94,314,-123.098619,180.996185,355.431517,1
12500,-42,94,314,-123.098619,180.996185,355.431517,1
12550,-25,26,341,-106.691992,114.543914,383.564104,1
12600,18,-45,359,-63.950138,45.469683,402.316824,1
12650,74,-122,361,-7.957854,-29.157668,404.736543,1
12700,74,-122,361,-7.957854,-29.157668,404.736543,1
12750,138,-188,343,56.397857,-92.764414,386.595122,1
12800,196,-230,316,114.957671,-132.923937,359.063102,1
12850,248,-252,285,167.642116,-153.594513,327.276052,1
12900,248,-252,285,167.642116,-153.594513,327.276052,1
12950,285,-247,268,205.228962,-148.244297,309.548948,1
13000,290,-185,291,210.501310,-88.092369,332.132024,1
13050,269,-123,314,189.507053,-28.130150,354.976575,1
13101,269,-123,314,189.507053,-28.130150,354.976575,1
13150,251,-77,327,171.527382,16.390357,367.815417,1
13200,246,-45,327,166.709599,47.527410,367.471572,1
