t_s,innovation_e_m,innovation_n_m,innovation_h_m,hdop,sats
253.653,-0.08721321007537597,0.46323016299990627,0.4713685690885333,2.7,5
253.771,-0.02473760347049847,-0.1920276421551037,0.19361447357341904,2.7,5
254.685,0.033855814843697374,-1.2595504903162098,1.2600054181845948,2.7,5
254.806,-0.007846380612129167,0.027789239793827747,0.028875725740304017,2.7,5
255.684,0.05916560702605267,0.45176109875146864,0.4556189848984516,2.7,5
255.805,-0.0008759824077202438,-0.021763882365094744,0.021781504098209503,2.7,5
256.734,1.6009074976393691,-1.854819908815017,2.4501554461165305,2.7,5
256.858,-0.0870658785718561,0.08524517437136403,0.12184911556959882,2.7,5
257.644,-0.22034040874320482,-0.1969431369212007,0.29552748587142513,2.7,5
257.764,-0.04271243225075949,0.08526313112352568,0.0953632706956051,2.7,5
258.706,-0.02510176670763542,-1.3580956524099612,1.3583276113613691,2.7,5
258.828,-0.01561292268713288,0.10175668781365133,0.10294749569386953,2.7,5
259.656,1.5723050136074335,-0.1631014552524679,1.5807419588663245,2.7,5
259.845,-0.15315319747071499,0.09941933267967507,0.18259273152558872,2.69,5
260.677,-1.7883599834631099,-0.7346663537967215,1.9333820320498338,2.69,5
260.799,0.0864571357853876,0.11146427675397153,0.14106424536536147,2.69,5
261.764,3.4120576431039282,-0.24667142061428926,3.4209624595443615,2.69,5
262.685,-0.48014875738596885,0.11457450706101202,0.49362956443831835,2.69,5
262.808,-0.19676356739051215,0.03757854789855575,0.2003198660003662,2.69,5
263.645,-0.18589073533370026,-1.090250885722118,1.1059847916227268,2.69,5
263.765,-0.04347844812080126,0.21585105304855468,0.22018640410607365,2.69,5
264.7,0.0179462591825299,1.3131019703026663,1.313224600984687,2.69,5
264.902,-0.00750493353196191,-0.056933980939612994,0.057426493998427086,2.69,5
265.73,0.06616191890201151,-0.22652194733003395,0.2359864236242988,2.69,5
265.889,0.03812142697674403,-0.10868243254568632,0.11517427811274046,2.69,5
266.729,0.10297096345348677,1.0934542835253094,1.0982919873487136,2.69,5
266.853,-0.001574476247633072,-0.2573644056722557,0.25736922170781756,2.69,5
267.72,0.07724520965054182,-0.4760375971427244,0.4822640524726832,2.69,5
267.843,0.038482972834607665,-0.19989227597295933,0.2035629170350997,2.69,5
268.669,0.10098263641108929,-0.6945342688734595,0.7018371203463986,2.69,5
268.792,-0.0015141851620157354,0.06039460506838168,0.06041358355594098,2.69,5
