t_s,east_m,north_m,up_m,ve_mps,vn_mps,vu_mps,lat,lon,alt_m,roll_deg,pitch_deg,yaw_deg,bgx_dps,bgy_dps,bgz_dps,bax_mps2,bay_mps2,baz_mps2,sigma_e_m,sigma_n_m
605.695,81.94218137357991,-169.16850670034898,0.0,2.039173665566741,-0.722483890976646,-0.029167221566556396,26.028872023448393,119.19386576738107,36.2,-46.55545191990048,5.580598431449395,23.508797478432356,0.0,0.0,0.0,0.0,0.0,0.0,1.376550452306862,1.376550452306862
605.884,81.88245165384359,-169.10963927030835,0.0,1.720907476646887,-0.5828332637331034,-0.029039721003095514,26.028872552263515,119.19386517024748,36.2,-48.889682290990976,1.656522329642872,20.78760220281773,0.0,0.0,0.0,0.0,0.0,0.0,1.2994565077759699,1.2994565077759699
606.031,82.10699813378173,-169.1829637882197,-0.0034515694792997854,1.5275270744091647,-0.4988062442948595,-0.029272594626338848,26.028871893578163,119.19386741509726,36.1965484305207,-51.43063665737356,-3.0004667616566008,20.90509341863857,0.0,0.0,0.0,0.0,0.0,0.0,1.3545104457370658,1.3545104457370658
606.17,82.29561619999056,-169.24251130835492,-0.006128659092145357,1.3569645050994832,-0.4283994254332028,-0.029481223689826565,26.02887135865369,119.1938693007613,36.193871340907855,-49.212732683438055,-6.4602368555575325,22.160178980500774,0.0,0.0,0.0,0.0,0.0,0.0,1.4165118453285013,1.4165118453285013
606.305,82.45932161433576,-169.2921254930206,-0.008275775789268974,1.2126326988533072,-0.3675124790049487,-0.029664429890613415,26.028870912961885,119.19387093736708,36.19172422421073,-51.80176926040688,-8.949407272391154,19.343420899972298,0.0,0.0,0.0,0.0,0.0,0.0,1.4864270622564106,1.4864270622564106
606.444,82.6101725656103,-169.3354568908751,-0.010082376818387218,1.0852586422628503,-0.3117366752122038,-0.029812860858965434,26.028870523709315,119.19387244546343,36.189917623181614,-51.32826618571453,-8.12111573979944,16.733422377191392,0.0,0.0,0.0,0.0,0.0,0.0,1.5684970474598483,1.5684970474598483
606.584,82.74642603056054,-169.37211548221288,-0.011569851943615652,0.9732390353589047,-0.2618470809841882,-0.029936397724280684,26.028870194399584,119.19387380762488,36.18843014805639,-49.96204927404832,-3.97480151472434,16.999756263400013,0.0,0.0,0.0,0.0,0.0,0.0,1.6613422067194594,1.6613422067194594
606.717,81.75014674203344,-170.017785382867,0.0,0.32662248697020796,-0.6930291884796672,-0.029220754468191053,26.02886439424818,119.19386384756072,36.2,-50.010192871792974,-2.24097105398466,17.926866835684713,0.0,0.0,0.0,0.0,0.0,0.0,1.3736144863735429,1.3736144863735429
606.859,81.70720282482779,-169.94934512368374,0.0,0.2954810911655399,-0.5876881310585822,-0.029245385538338456,26.02886500905749,119.19386341823918,36.2,-50.573803079606805,-2.840782490984329,23.029780257087015,0.0,0.0,0.0,0.0,0.0,0.0,1.2852712277061982,1.2852712277061982
607.005,81.74548999251358,-170.02287432519802,-0.0034536651175691786,0.26224087456021816,-0.503624667905948,-0.029446783270923517,26.028864348533435,119.19386380100599,36.196546334882434,-49.32157652876733,-4.2145081100158395,29.0904884763022,0.0,0.0,0.0,0.0,0.0,0.0,1.3384472875006086,1.3384472875006086
607.149,81.77918667424126,-170.08483968935755,-0.006219388639683798,0.23400473422001125,-0.4303150288855548,-0.029619673049112043,26.028863791889098,119.19386413788051,36.19378061136032,-49.78740049555222,-0.5963536301877678,25.01978258800563,0.0,0.0,0.0,0.0,0.0,0.0,1.4002626723834222,1.4002626723834222
