# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
5280,0.111572,0.012939,-1.011230
5300,0.111816,0.018066,-1.009766
5320,0.109131,0.019287,-1.005371
5340,0.112061,0.011230,-1.008057
5360,0.113037,0.013916,-1.010254
5380,0.110107,0.012939,-1.006348
5400,0.112305,0.013672,-1.007568
5420,0.112061,0.016113,-1.008057
5441,0.111572,0.016846,-1.012207
5460,0.114258,0.014160,-1.005859
5480,0.109619,0.013428,-1.015869
5500,0.111084,0.014893,-1.012695
5520,0.108887,0.017578,-1.009766
5541,0.109619,0.013428,-1.012451
5560,0.110107,0.013916,-1.016602
5580,0.109131,0.016846,-1.012451
5600,0.111328,0.014160,-1.014648
5620,0.109131,0.013672,-1.010986
5640,0.110107,0.016113,-1.012451
5660,0.109131,0.014404,-1.010986
5680,0.109619,0.012451,-1.013184
5700,0.110352,0.016846,-1.009033
5720,0.109375,0.015137,-1.009766
5740,0.106934,0.015381,-1.010986
5760,0.108643,0.013916,-1.006348
5781,0.108154,0.015869,-1.013428
5800,0.114502,0.013428,-1.006348
5820,0.106689,0.011475,-1.011230
5840,0.110107,0.016357,-1.012695
5860,0.114258,0.017822,-1.005615
5881,0.112061,0.014160,-1.010986
5900,0.109619,0.018311,-1.011963
5920,0.109863,0.016357,-1.014648
5940,0.112549,0.014404,-1.010986
5960,0.112549,0.017090,-1.011963
5980,0.107422,0.018799,-1.009766
6000,0.109619,0.014160,-1.011230
6020,0.110352,0.013184,-1.014404
6040,0.109375,0.009521,-1.009521
6060,0.107422,0.011963,-1.010498
6080,0.112549,0.014893,-1.014160
6100,0.110352,0.012695,-1.010010
6120,0.111816,0.013672,-1.011963
6140,0.110840,0.010986,-1.006104
6160,0.110840,0.011475,-1.013428
6180,0.110596,0.012207,-1.020996
6200,0.110840,0.010986,-1.013916
6220,0.113770,0.012451,-1.009766
6240,0.111084,0.015381,-1.013916
6260,0.106934,0.018311,-1.017822
6280,0.111816,0.007568,-1.010010
6300,0.112305,0.014648,-1.010254
6320,0.113281,0.013184,-1.013184
6340,0.111572,0.017578,-1.010254
6360,0.106934,0.017090,-1.011719
6380,0.111816,0.011963,-1.017334
6400,0.107666,0.017822,-1.010010
6421,0.112549,0.010986,-1.002686
6440,0.110840,0.013184,-1.015625
6460,0.111328,0.016602,-1.008545
6480,0.114990,0.013916,-1.013428
6500,0.109375,0.018066,-1.019287
6520,0.111084,0.017578,-1.006592
6540,0.109375,0.015869,-1.018555
6560,0.110596,0.016846,-1.010498
6580,0.110596,0.010254,-1.013916
6600,0.114746,0.013916,-1.014404
6620,0.113281,0.014648,-1.008789
6640,0.111084,0.015625,-1.011963
6660,0.109863,0.014404,-1.007813
6680,0.111816,0.015625,-1.006592
6700,0.109375,0.016357,-1.010742
6720,0.108887,0.013428,-1.013916
6740,0.108154,0.016113,-1.010498
6761,0.112793,0.012451,-1.012451
6780,0.103760,0.014404,-1.016602
6800,0.110352,0.016846,-1.010254
6820,0.108398,0.017090,-1.010498
6840,0.110352,0.015625,-1.009766
6860,0.110596,0.016357,-1.006104
6880,0.109863,0.012451,-1.010986
6900,0.114014,0.017578,-1.007568
6920,0.113770,0.014893,-1.014648
6940,0.108887,0.013672,-1.009277
6960,0.111328,0.015625,-1.006836
6980,0.112549,0.019775,-1.013428
7000,0.111572,0.009766,-1.010986
7020,0.109131,0.011230,-1.012451
7040,0.110596,0.016113,-1.014893
7060,0.113037,0.012939,-1.013672
7080,0.107422,0.015137,-1.011230
7100,0.113037,0.014893,-1.010742
7120,0.107178,0.015625,-1.014404
7140,0.113037,0.016846,-1.010498
7160,0.113770,0.016602,-1.010742
7180,0.110840,0.010254,-1.009766
7201,0.108643,0.015381,-1.008301
7220,0.118164,0.015137,-1.010498
7240,0.114258,0.012939,-1.011719
7260,0.110840,0.015869,-1.010254
7280,0.109863,0.015137,-1.014404
7301,0.114014,0.016846,-1.009521
7320,0.112305,0.020264,-1.012939
7340,0.110840,0.014893,-1.017090
7360,0.107178,0.011719,-1.013428
7380,0.107910,0.013916,-1.010742
7401,0.105957,0.018311,-1.007568
7420,0.114746,0.015381,-1.004150
7440,0.113037,0.016357,-1.017578
7460,0.112793,0.018555,-1.005615
7480,0.110840,0.016602,-1.013184
7501,0.107666,0.012939,-1.011475
7520,0.109619,0.012695,-1.012939
7540,0.112549,0.017334,-1.012207
7560,0.107666,0.016602,-1.010010
7580,0.111328,0.016357,-1.014893
7600,0.114746,0.017090,-1.008057
7620,0.109619,0.015137,-1.016113
7640,0.111816,0.016113,-1.012939
7660,0.111084,0.015381,-1.014893
7680,0.112305,0.017334,-1.010010
7700,0.109375,0.013428,-1.010498
7720,0.105957,0.018311,-1.010986
7740,0.110596,0.014648,-1.008057
7760,0.108643,0.014160,-1.011963
7780,0.112793,0.016357,-1.014160
7800,0.108887,0.014404,-1.013428
7820,0.109375,0.015137,-1.012939
7840,0.110107,0.015381,-1.011963
7860,0.113037,0.012939,-1.014648
7880,0.110352,0.011719,-1.011230
7900,0.108887,0.013184,-1.015137
7920,0.111572,0.013428,-1.008057
7940,0.107666,0.018066,-1.016846
7960,0.113037,0.014160,-1.013672
7980,0.109619,0.012939,-1.011719
8000,0.109619,0.015137,-1.012695
8020,0.110840,0.014893,-1.001465
8040,0.109863,0.012451,-1.013428
8060,0.107178,0.012451,-1.007568
8081,0.109863,0.015625,-1.010742
8100,0.114746,0.015869,-1.012939
8120,0.107666,0.013184,-1.010986
8140,0.110352,0.016357,-1.011963
8160,0.108643,0.014648,-1.005127
8181,0.111816,0.016357,-1.006592
8200,0.111084,0.017090,-1.008789
8220,0.109863,0.011230,-1.006348
8240,0.110352,0.013184,-1.007080
8260,0.110840,0.016602,-1.008789
8281,0.113037,0.017578,-1.012939
8300,0.109863,0.014648,-1.012939
8320,0.107666,0.014893,-1.012939
8340,0.107666,0.017090,-1.005127
8360,0.110352,0.014404,-1.009033
8380,0.109863,0.015381,-1.009277
8400,0.109131,0.011230,-1.013184
8420,0.108887,0.016602,-1.006592
8440,0.111816,0.012451,-1.011719
8460,0.107178,0.021240,-1.008789
8480,0.108643,0.017090,-1.004150
