# purpose,gyroscope bias and Allan deviation
# sample_hz,50
# duration_s,1800
# sda_gpio,21
# scl_gpio,22
# i2c_freq,400000
# gyro_full_scale,+-250 dps
# accel_full_scale,+-2 g
# dlpf_cfg,3
# wifi,off
# note,keep the board completely still
t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps
2420,-0.034424,0.013184,1.016846,42.771,0.290076,1.030534,-0.137405
2440,-0.035156,0.013428,1.032959,42.786,0.183206,0.954198,-0.137405
2460,-0.034668,0.012939,1.020752,42.821,0.167939,0.969466,-0.175573
2480,-0.039307,0.011230,1.028076,42.789,0.183206,0.885496,-0.068702
2500,-0.034180,0.013916,1.025635,42.798,0.229008,1.053435,-0.145038
2520,-0.033691,0.010742,1.025879,42.789,0.183206,0.946565,-0.106870
2540,-0.035645,0.013672,1.020996,42.804,0.206107,0.969466,-0.076336
2560,-0.040771,0.013428,1.020996,42.795,0.206107,0.938931,-0.183206
2580,-0.037598,0.014893,1.023193,42.827,0.229008,0.992366,-0.137405
2600,-0.038818,0.014648,1.026611,42.809,0.206107,0.946565,-0.091603
2620,-0.035889,0.011475,1.021973,42.771,0.229008,0.893130,-0.030534
2640,-0.035645,0.015137,1.023193,42.783,0.221374,0.977099,-0.213740
2660,-0.035400,0.014160,1.025879,42.804,0.251908,0.862595,-0.030534
2680,-0.034424,0.013184,1.020508,42.777,0.244275,0.916031,-0.106870
2700,-0.035400,0.010986,1.028809,42.801,0.267176,0.900763,-0.015267
2720,-0.032959,0.010986,1.019287,42.789,0.274809,0.969466,0.007634
2740,-0.036377,0.011475,1.016113,42.777,0.198473,0.885496,-0.091603
2761,-0.032959,0.014648,1.026123,42.812,0.267176,0.984733,-0.091603
2781,-0.038086,0.014160,1.020508,42.780,0.267176,0.740458,-0.114504
2801,-0.032471,0.016113,1.028564,42.783,0.267176,1.061069,-0.083969
2820,-0.031738,0.009033,1.023682,42.795,0.236641,0.969466,-0.213740
2840,-0.035889,0.014404,1.022949,42.780,0.244275,0.931298,-0.061069
2860,-0.033691,0.010498,1.026123,42.806,0.259542,0.885496,-0.122137
2880,-0.035645,0.012451,1.026123,42.818,0.213740,1.030534,-0.190840
2900,-0.034424,0.012939,1.023682,42.812,0.198473,1.038168,-0.106870
2920,-0.034180,0.011230,1.028076,42.804,0.213740,0.824428,-0.015267
2940,-0.033203,0.011475,1.023438,42.806,0.267176,0.900763,-0.129771
2960,-0.031982,0.015625,1.021484,42.815,0.160305,0.908397,-0.030534
2980,-0.037354,0.013916,1.021973,42.821,0.251908,0.931298,0.000000
3000,-0.033203,0.015625,1.026123,42.815,0.229008,1.007634,-0.137405
3020,-0.035156,0.013916,1.025146,42.818,0.366412,0.748092,-0.106870
3040,-0.038086,0.012451,1.027100,42.801,0.328244,0.923664,-0.022901
3060,-0.038574,0.012451,1.023926,42.801,0.213740,0.916031,-0.045802
3080,-0.037598,0.012207,1.027344,42.801,0.259542,0.916031,-0.145038
3100,-0.034180,0.011963,1.021484,42.792,0.229008,0.839695,-0.129771
3120,-0.032471,0.013428,1.020264,42.795,0.251908,0.969466,-0.099237
3140,-0.033203,0.012451,1.023193,42.818,0.290076,1.000000,-0.030534
