# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
4540,-0.090820,1.004883,0.024414
4560,-0.093262,1.007568,0.023438
4580,-0.093750,1.003174,0.020996
4600,-0.088867,1.002686,0.021973
4620,-0.088867,1.004395,0.020752
4640,-0.090820,1.003662,0.019531
4660,-0.093262,1.002441,0.020752
4680,-0.090332,1.006836,0.022217
4700,-0.096191,1.001465,0.019287
4720,-0.091553,1.005127,0.020752
4740,-0.091064,0.999268,0.020752
4760,-0.091064,1.006592,0.016113
4780,-0.087891,1.004150,0.019043
4800,-0.092773,1.003906,0.017334
4820,-0.091309,1.003418,0.018066
4840,-0.089355,1.002197,0.020264
4860,-0.094727,1.000000,0.022949
4880,-0.092041,1.006348,0.019287
4900,-0.090820,1.001465,0.023682
4920,-0.093262,1.002441,0.017822
4940,-0.091553,1.000488,0.020020
4960,-0.092285,1.003906,0.016357
4980,-0.092041,1.002930,0.017822
5000,-0.092041,1.006836,0.020996
5020,-0.090820,1.006104,0.017578
5040,-0.093262,1.000000,0.018555
5060,-0.092285,1.005127,0.025146
5080,-0.090576,1.006104,0.022217
5100,-0.093262,0.996826,0.018311
5120,-0.092041,1.003174,0.017822
5140,-0.087158,1.001953,0.021729
5160,-0.093994,1.003174,0.019287
5180,-0.096924,1.001465,0.020752
5200,-0.093994,1.002930,0.015625
5220,-0.093994,1.003662,0.025146
5240,-0.090332,1.004395,0.019531
5260,-0.090576,1.006104,0.018311
5280,-0.093018,1.004395,0.021973
5300,-0.091309,1.000732,0.019775
5320,-0.090820,1.002686,0.016357
5340,-0.091309,1.003418,0.019531
5360,-0.088867,1.006592,0.019043
5380,-0.090332,1.002930,0.018066
5400,-0.090820,1.000000,0.011963
5420,-0.092041,1.002686,0.019043
5440,-0.098633,1.006836,0.019775
5460,-0.092285,1.000488,0.020020
5480,-0.090576,1.003906,0.017822
5500,-0.090576,1.005859,0.023193
5520,-0.090820,1.004639,0.010742
5541,-0.094238,1.003906,0.016846
5560,-0.089600,1.005371,0.019775
5580,-0.091553,1.001709,0.022217
5600,-0.088135,1.000977,0.018066
5620,-0.096436,1.002930,0.021240
5641,-0.090088,1.002686,0.024902
5660,-0.094238,1.001709,0.020264
5680,-0.092773,1.006348,0.020264
5700,-0.088379,1.002197,0.019775
5720,-0.093262,1.003174,0.023193
5741,-0.093994,1.004395,0.022217
5760,-0.093750,1.001709,0.017822
5780,-0.092041,1.004150,0.017090
5800,-0.095459,1.004639,0.024170
5820,-0.092773,1.004395,0.029541
5841,-0.091797,1.005127,0.018311
5860,-0.088135,1.001953,0.022461
5880,-0.093262,1.001221,0.020020
5900,-0.091553,1.003174,0.021484
5920,-0.093018,1.003418,0.017822
5941,-0.094971,1.002686,0.013672
5960,-0.090088,1.005615,0.018066
5980,-0.088623,1.001709,0.020996
6000,-0.090088,1.003906,0.023193
6020,-0.090820,1.003418,0.021240
6041,-0.091064,1.003418,0.021240
6060,-0.094727,1.001953,0.019531
6080,-0.088623,1.001221,0.020996
6100,-0.092285,1.003662,0.022705
6120,-0.092773,1.006104,0.020020
6141,-0.093506,1.000732,0.019531
6160,-0.089355,1.002686,0.019287
6180,-0.088867,1.000488,0.023193
6200,-0.093262,1.003662,0.017822
6220,-0.089355,1.000732,0.022461
6241,-0.093750,1.005371,0.022461
6260,-0.092041,1.000244,0.014648
6280,-0.092285,1.004395,0.012939
6300,-0.089111,1.003418,0.016113
6320,-0.090088,1.001709,0.021484
6340,-0.090576,1.003174,0.022949
6360,-0.095215,1.007080,0.024902
6380,-0.090088,1.003906,0.017090
6400,-0.093018,1.006836,0.018555
6420,-0.092285,1.002441,0.029053
6440,-0.093018,1.003174,0.014648
6460,-0.092285,1.001709,0.028564
6480,-0.093018,1.002686,0.017334
6500,-0.090332,1.000488,0.018066
6520,-0.089844,1.004883,0.020508
6540,-0.089111,1.000732,0.022461
6560,-0.090576,1.006104,0.018066
6580,-0.091797,1.001953,0.023926
6600,-0.092529,1.002686,0.015381
6620,-0.096680,1.001221,0.020020
6640,-0.091064,1.003418,0.022705
6660,-0.090332,1.002441,0.019043
6680,-0.095703,0.999756,0.016846
6700,-0.090576,1.004150,0.016357
6720,-0.092285,1.006104,0.021240
6740,-0.092285,1.005127,0.025146
