sample,elapsed_s,temp_c
355,35.501,32.000
356,35.600,31.000
357,35.700,31.000
358,35.800,31.000
359,35.900,31.000
360,36.000,31.000
361,36.100,31.000
362,36.200,31.000
363,36.300,31.000
364,36.400,31.000
365,36.500,31.000
366,36.600,31.000
367,36.700,31.000
368,36.800,31.000
369,36.900,31.000
370,37.001,31.000
371,37.100,31.000
372,37.200,31.000
373,37.300,31.000
374,37.400,31.000
375,37.500,31.000
376,37.600,31.000
377,37.700,31.000
378,37.801,31.000
379,37.900,31.000
380,38.001,31.000
381,38.100,31.000
382,38.200,31.000
383,38.301,32.000
384,38.400,31.000
385,38.500,31.000
386,38.600,31.000
387,38.700,31.000
388,38.800,31.000
389,38.900,31.000
390,39.000,31.000
391,39.100,31.000
392,39.200,32.000
393,39.300,31.000
394,39.401,31.000
395,39.500,31.000
396,39.600,31.000
397,39.700,31.000
398,39.801,31.000
399,39.900,31.000
400,40.000,31.000
401,40.100,31.000
402,40.200,32.000
403,40.300,31.000
404,40.401,31.000
405,40.500,31.000
406,40.600,31.000
407,40.700,31.000
408,40.800,31.000
409,40.900,31.000
410,41.000,31.000
411,41.101,31.000
412,41.200,32.000
413,41.300,31.000
414,41.401,31.000
415,41.500,31.000
416,41.601,31.000
417,41.700,31.000
418,41.801,31.000
419,41.900,31.000
420,42.000,31.000
421,42.101,31.000
422,42.200,32.000
423,42.300,31.000
424,42.400,32.000
425,42.501,32.000
426,42.600,31.000
427,42.700,31.000
428,42.800,31.000
429,42.900,31.000
430,43.000,31.000
431,43.100,31.000
432,43.201,31.000
433,43.300,31.000
434,43.400,31.000
435,43.500,31.000
436,43.600,31.000
437,43.700,31.000
438,43.800,31.000
439,43.900,31.000
440,44.000,31.000
441,44.100,31.000
442,44.200,31.000
443,44.301,31.000
444,44.400,31.000
445,44.500,31.000
446,44.600,31.000
447,44.701,31.000
448,44.800,31.000
449,44.900,31.000
450,45.000,31.000
451,45.100,31.000
452,45.200,32.000
453,45.301,31.000
454,45.400,31.000
455,45.501,31.000
456,45.600,31.000
457,45.700,31.000
458,45.800,31.000
459,45.900,32.000
460,46.000,31.000
461,46.100,31.000
462,46.200,31.000
463,46.300,31.000
464,46.400,31.000
465,46.501,31.000
466,46.600,32.000
467,46.700,31.000
468,46.800,31.000
469,46.900,31.000
470,47.001,31.000
471,47.100,32.000
472,47.200,32.000
473,47.300,32.000
474,47.400,31.000
475,47.501,31.000
476,47.600,32.000
477,47.700,31.000
478,47.800,31.000
479,47.901,31.000
480,48.000,31.000
481,48.100,31.000
482,48.200,31.000
483,48.301,31.000
484,48.401,31.000
485,48.500,31.000
486,48.601,32.000
487,48.700,31.000
488,48.800,31.000
489,48.900,31.000
490,49.001,31.000
491,49.100,31.000
492,49.200,31.000
493,49.300,31.000
494,49.400,31.000
495,49.501,31.000
496,49.600,31.000
497,49.700,31.000
498,49.800,31.000
499,49.900,31.000
500,50.001,31.000
501,50.100,31.000
502,50.200,31.000
503,50.301,31.000
504,50.400,32.000
505,50.500,32.000
506,50.600,31.000
507,50.701,32.000
508,50.800,31.000
509,50.901,32.000
510,51.000,31.000
511,51.101,32.000
512,51.200,31.000
513,51.300,31.000
514,51.401,31.000
515,51.500,31.000
516,51.600,31.000
517,51.700,31.000
518,51.801,32.000
519,51.900,31.000
520,52.000,31.000
521,52.100,31.000
522,52.200,32.000
523,52.300,31.000
524,52.400,32.000
525,52.500,31.000
526,52.601,31.000
527,52.700,31.000
528,52.800,31.000
529,52.900,31.000
530,53.001,31.000
531,53.100,31.000
532,53.200,31.000
533,53.301,32.000
534,53.401,31.000
535,53.500,31.000
536,53.601,31.000
537,53.700,31.000
538,53.800,31.000
539,53.900,31.000
540,54.000,31.000
541,54.101,31.000
542,54.200,32.000
543,54.300,31.000
544,54.401,31.000
545,54.500,31.000
546,54.600,32.000
547,54.700,31.000
548,54.800,32.000
549,54.901,31.000
550,55.000,31.000
551,55.101,32.000
552,55.200,32.000
553,55.300,32.000
554,55.401,31.000
555,55.500,31.000
556,55.600,31.000
557,55.700,31.000
558,55.800,31.000
559,55.900,32.000
560,56.000,31.000
561,56.101,31.000
562,56.200,32.000
563,56.300,32.000
564,56.400,32.000
565,56.500,31.000
566,56.600,31.000
567,56.700,31.000
568,56.800,31.000
569,56.901,32.000
570,57.000,31.000
571,57.100,31.000
572,57.201,31.000
573,57.300,32.000
574,57.400,32.000
575,57.500,31.000
576,57.600,32.000
577,57.701,31.000
578,57.800,31.000
579,57.901,31.000
580,58.000,32.000
581,58.100,31.000
582,58.200,32.000
583,58.300,32.000
584,58.400,31.000
585,58.501,31.000
586,58.600,31.000
587,58.700,31.000
588,58.800,31.000
589,58.901,31.000
590,59.000,32.000
591,59.100,31.000
592,59.200,32.000
593,59.300,31.000
594,59.400,31.000
595,59.500,31.000
596,59.600,31.000
597,59.701,31.000
598,59.800,31.000
599,59.900,31.000
600,60.000,31.000
601,60.100,31.000
602,60.200,31.000
603,60.300,32.000
604,60.400,31.000
605,60.501,31.000
606,60.600,31.000
607,60.700,31.000
608,60.800,31.000
609,60.901,31.000
610,61.000,31.000
611,61.100,31.000
612,61.200,32.000
613,61.301,31.000
614,61.400,31.000
615,61.501,31.000
616,61.600,31.000
617,61.701,31.000
618,61.800,31.000
619,61.900,31.000
620,62.000,31.000
621,62.100,31.000
622,62.200,31.000
623,62.300,31.000
624,62.400,31.000
625,62.500,32.000
626,62.601,31.000
627,62.700,31.000
628,62.800,31.000
629,62.900,31.000
630,63.001,31.000
631,63.100,31.000
632,63.200,31.000
633,63.300,32.000
634,63.400,31.000
635,63.500,31.000
636,63.600,31.000
637,63.700,31.000
638,63.800,31.000
639,63.900,32.000
640,64.001,31.000
641,64.100,31.000
642,64.201,31.000
643,64.300,31.000
644,64.400,31.000
645,64.500,31.000
646,64.601,32.000
647,64.700,31.000
648,64.800,31.000
649,64.900,31.000
650,65.000,31.000
651,65.101,31.000
652,65.201,32.000
653,65.300,31.000
654,65.401,31.000
655,65.500,31.000
656,65.600,32.000
657,65.700,31.000
658,65.800,31.000
659,65.900,31.000
660,66.000,31.000
661,66.101,32.000
662,66.200,32.000
663,66.300,32.000
664,66.401,31.000
665,66.500,31.000
666,66.600,32.000
667,66.700,31.000
668,66.800,32.000
669,66.901,31.000
670,67.000,31.000
671,67.100,31.000
672,67.201,31.000
673,67.300,32.000
674,67.400,32.000
675,67.500,32.000
676,67.600,31.000
677,67.701,31.000
678,67.800,31.000
679,67.901,31.000
680,68.000,31.000
681,68.100,31.000
682,68.200,32.000
683,68.300,32.000
684,68.400,31.000
685,68.501,31.000
686,68.600,32.000
687,68.700,31.000
688,68.800,31.000
689,68.901,32.000
690,69.000,32.000
691,69.282,32.000
692,69.351,32.000
693,69.399,32.000
694,69.406,32.000
695,69.500,32.000
696,69.601,32.000
697,69.700,32.000
698,69.800,31.000
699,69.900,32.000
700,70.001,32.000
701,70.100,32.000
702,70.201,31.000
703,70.300,32.000
704,70.400,32.000
705,70.500,31.000
706,70.600,32.000
707,70.700,32.000
708,70.800,31.000
709,70.900,32.000
710,71.000,31.000
711,71.100,32.000
712,71.200,31.000
713,71.301,32.000
714,71.400,32.000
715,71.500,32.000
716,71.600,31.000
717,71.701,31.000
718,71.800,31.000
719,71.900,31.000
720,72.000,32.000
721,72.100,31.000
722,72.200,32.000
723,72.300,31.000
724,72.400,31.000
725,72.500,31.000
726,72.600,31.000
727,72.701,31.000
728,72.800,32.000
729,72.901,31.000
730,73.000,31.000
731,73.100,31.000
732,73.200,31.000
733,73.301,31.000
734,73.400,31.000
735,73.500,32.000
736,73.600,32.000
737,73.701,31.000
738,73.800,31.000
739,73.900,31.000
740,74.000,31.000
741,74.100,31.000
742,74.200,32.000
743,74.300,32.000
744,74.400,31.000
745,74.501,31.000
