# label,wifi_off
# sample_hz,20
# duration_s,60
# sda_gpio,21
# scl_gpio,22
t_ms,mx_raw,my_raw,mz_raw,wifi_scan_count
18300,174,263,167,0
18350,173,262,166,0
18400,173,262,166,0
18450,174,261,166,0
18500,172,264,167,0
18551,173,263,166,0
18600,173,263,166,0
18650,173,261,166,0
18700,173,264,167,0
18750,174,262,167,0
18800,174,262,167,0
18850,173,261,166,0
18900,174,262,166,0
18950,174,262,166,0
19000,174,262,166,0
19050,174,261,166,0
19100,173,262,166,0
19150,173,262,166,0
19200,173,262,167,0
19250,173,263,167,0
19300,174,262,167,0
19350,174,262,167,0
19400,173,261,167,0
19450,173,262,167,0
19500,174,262,166,0
19550,174,262,166,0
19600,173,262,165,0
19650,174,263,167,0
19700,172,264,166,0
19750,172,264,166,0
19800,175,261,166,0
19850,172,263,167,0
19900,174,261,166,0
19950,174,261,166,0
20001,173,261,167,0
20050,174,263,167,0
20100,172,261,166,0
20150,172,261,166,0
20200,174,261,165,0
20250,174,262,166,0
20300,173,261,166,0
20350,173,261,166,0
20400,174,263,167,0
20450,174,263,166,0
20500,174,264,166,0
20550,174,264,166,0
20600,174,262,166,0
20650,174,263,166,0
20700,174,261,167,0
20750,174,261,167,0
20800,173,262,167,0
20850,175,262,166,0
20900,174,262,167,0
20950,174,262,167,0
21000,174,261,167,0
21050,173,263,166,0
21100,173,261,166,0
21150,173,261,166,0
21200,173,261,167,0
21250,173,264,167,0
21300,174,261,166,0
21350,174,261,166,0
21400,173,263,168,0
21451,173,264,167,0
21500,174,261,166,0
21550,174,261,166,0
21600,173,263,165,0
21650,173,262,167,0
21700,173,262,167,0
21750,172,262,167,0
21800,174,262,167,0
21850,174,261,167,0
21900,174,261,167,0
21950,173,262,167,0
22000,173,261,167,0
22050,174,261,166,0
22100,174,261,166,0
22150,174,262,166,0
22200,174,262,168,0
22250,174,261,166,0
22300,174,261,166,0
22350,173,262,167,0
22400,173,262,167,0
22450,173,261,166,0
22500,173,261,166,0
22550,174,262,167,0
22600,174,263,166,0
22650,174,261,167,0
22700,174,261,167,0
22750,173,263,166,0
22800,173,263,167,0
22850,174,261,167,0
22901,174,261,167,0
22950,173,261,166,0
23000,174,261,165,0
23050,173,262,166,0
23100,173,262,166,0
