t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,acc_norm_g,acc_norm_error_mg
2920.0,-0.061035,0.006592,1.025879,43.871,0.251908,1.076336,-0.206107,1.02771419,27.7142
2940.0,-0.066162,0.006836,1.028564,43.874,0.290076,0.977099,-0.015267,1.03071240,30.7124
2960.0,-0.063232,0.006592,1.022949,43.868,0.305344,0.938931,-0.160305,1.02492263,24.9226
2980.0,-0.045166,-0.021484,1.016113,43.862,0.10687,0.900763,-0.160305,1.01734319,17.3432
3000.0,-0.072754,0.006836,1.028564,43.871,0.290076,1.0,-0.091603,1.03115652,31.1565
3020.0,-0.06665,-0.000732,1.044678,43.862,0.29771,1.10687,-0.061069,1.04680222,46.8022
3040.0,-0.049561,0.016357,1.022217,43.874,0.198473,0.816794,-0.122137,1.02354845,23.5485
3060.0,-0.067139,0.01123,1.015625,43.871,0.160305,0.954198,-0.198473,1.01790368,17.9037
3080.0,-0.063232,0.006104,1.027588,43.874,0.251908,1.083969,0.030534,1.02954973,29.5497
3100.0,-0.065186,0.012207,1.024902,43.865,0.381679,1.007634,0.114504,1.02704544,27.0454
3120.0,-0.063721,0.008301,1.023193,43.827,0.221374,1.053435,-0.221374,1.02520885,25.2089
3141.0,-0.060059,0.006104,1.030518,43.889,0.137405,0.969466,-0.076336,1.03228469,32.2847
3160.0,-0.060303,0.003906,1.024658,43.859,0.175573,0.984733,-0.10687,1.02643837,26.4384
3180.0,-0.068604,0.016113,1.024902,43.874,0.267176,1.10687,-0.152672,1.02732188,27.3219
3200.0,-0.070557,0.011963,1.02417,43.856,0.198473,0.961832,-0.061069,1.02666723,26.6672
3220.0,-0.062256,0.006104,1.029785,43.883,0.19084,0.984733,-0.015267,1.03168319,31.6832
3240.0,-0.068848,0.004639,1.024902,43.862,0.091603,1.0,-0.152672,1.02722231,27.2223
3260.0,-0.070557,0.012695,1.022461,43.868,0.145038,0.916031,-0.122137,1.02497119,24.9712
3280.0,-0.064209,0.000244,1.036377,43.865,0.343511,0.961832,-0.19084,1.03836417,38.3642
3300.0,-0.063721,0.010254,1.03125,43.836,0.21374,0.923664,-0.145038,1.03326767,33.2677
3320.0,-0.064941,0.009277,1.02417,43.868,0.114504,0.908397,-0.122137,1.02626877,26.2688
3340.0,-0.063721,0.001953,1.020752,43.859,0.312977,1.122137,-0.053435,1.02274084,22.7408
3360.0,-0.061279,0.012695,1.021484,43.842,0.374046,1.015267,-0.015267,1.02339916,23.3992
3380.0,-0.059814,0.011719,1.027832,43.856,0.183206,0.961832,-0.221374,1.02963764,29.6376
3400.0,-0.058838,0.008057,1.02002,43.88,0.076336,0.832061,-0.198473,1.02174734,21.7473
3420.0,-0.064697,0.008545,1.02832,43.892,0.274809,0.816794,0.0,1.03038864,30.3886
