phase,t_s,temp_c,comp_roll,comp_pitch,comp_yaw,mahony_roll,mahony_pitch,mahony_yaw,madgwick_roll,madgwick_pitch,madgwick_yaw
shake_return_level,131.3,43.686,0.43062859954221416,-34.706309629028226,75.23527323103384,0.4406021733262678,-37.12192609690326,-144.09807958740643,3.1897868459997234,-38.86943685543455,157.18697517084357
shake_return_level,131.32,43.68,0.3104103453101477,-32.636639898009435,78.61167233673974,0.3288237657456855,-34.85306275889213,-142.06336417006403,2.9885642502597394,-36.73130209455602,157.31206178393379
shake_return_level,131.34,43.689,0.2006203206048874,-30.574675653722835,76.14053355916315,0.24620846286755,-32.46294332106204,-134.50545998227426,2.8041939390046524,-34.64844052010467,157.420383224292
shake_return_level,131.36,43.736,0.10287752126066832,-28.648645808884023,74.18440542012837,0.18859112133792091,-30.0931117574437,-125.6825757326413,2.6410280352853306,-32.74771881231966,157.50808913921156
shake_return_level,131.381,43.715,0.015630141466212957,-26.93269297646758,71.93455304358008,0.11966130276043921,-27.90223092929622,-118.89377147515884,2.5341361485816902,-31.07999547653492,157.56551453794685
shake_return_level,131.4,43.706,-0.04426222537443238,-25.648674971061272,69.80480247971686,0.08112937749892844,-26.165025677256526,-112.35768470987685,2.4656301945386936,-29.857403370500815,157.6031546711958
shake_return_level,131.42,43.692,-0.08267474789647766,-24.64446578792087,67.78590572743504,0.07821224540924535,-24.718728421549837,-106.07120240404187,2.4264332447901222,-28.921339939130494,157.6251601947276
shake_return_level,131.441,43.709,-0.10216770333390596,-24.00262346018892,65.67857094573068,0.08299119540193337,-23.69617165540678,-100.79648103297367,2.4441780014770114,-28.355318142327743,157.62098772930293
shake_return_level,131.46,43.698,-0.09937539318535606,-23.72348920106674,63.64228485558533,0.10868376274542671,-23.038849757173043,-95.83234778175492,2.485924787907712,-28.16730959338966,157.60457756598657
shake_return_level,131.48,43.695,-0.07298031335327665,-23.827461714474445,61.66581055099217,0.18034412419658663,-22.749273170888653,-91.118735474451,2.5675072362253935,-28.373490983331912,157.54222191828222
shake_return_level,131.501,43.704,-0.06589543536139565,-24.439462925226778,59.622380992808054,0.1730246407151637,-22.937225158968893,-86.96721891747566,2.6965105732008685,-29.094950894903693,157.36603202019148
