source_file,mag_ellipsoid_20260616_203040.csv
t_ms,mx_raw,my_raw,mz_raw,mx_cal,my_cal,mz_cal
18750,91,-509,-14,11.104692,-404.654078,27.614741
18800,91,-509,-14,11.104692,-404.654078,27.614741
18850,87,-513,-42,7.308164,-408.276367,-0.736107
18900,85,-513,-71,5.568268,-407.971727,-30.165629
18950,79,-511,-102,-0.180206,-405.720170,-61.609314
19000,79,-511,-102,-0.180206,-405.720170,-61.609314
19050,74,-509,-113,-5.111964,-403.681211,-72.753107
19100,72,-508,-118,-7.077540,-402.663913,-77.822103
19150,66,-508,-117,-13.148914,-402.714458,-76.748555
19200,66,-508,-117,-13.148914,-402.714458,-76.748555
19250,55,-507,-117,-24.255426,-401.811336,-76.653054
19300,46,-505,-121,-33.296062,-399.875486,-80.649783
19350,26,-494,-166,-52.993622,-388.781612,-126.273312
19400,26,-494,-166,-52.993622,-388.781612,-126.273312
19450,7,-477,-208,-71.670348,-371.859858,-168.925841
19500,-10,-459,-237,-88.445730,-354.091693,-198.407466
19550,-30,-436,-272,-108.160902,-331.399094,-234.007727
19600,-30,-436,-272,-108.160902,-331.399094,-234.007727
19650,-63,-392,-313,-140.813133,-288.236934,-275.805198
19700,-93,-348,-341,-170.560334,-245.197460,-304.430482
19750,-112,-311,-356,-189.366426,-209.057748,-319.884287
19801,-112,-311,-356,-189.366426,-209.057748,-319.884287
19850,-121,-294,-363,-198.279065,-192.453613,-327.091850
19900,-125,-284,-366,-202.225187,-182.690187,-330.209170
19950,-136,-268,-367,-213.223059,-167.140700,-331.293545
20000,-136,-268,-367,-213.223059,-167.140700,-331.293545
20050,-155,-239,-368,-232.217425,-138.959974,-332.442972
20100,-189,-188,-361,-266.298314,-89.500628,-325.564511
20150,-228,-134,-338,-305.565677,-37.322545,-302.422882
20200,-228,-134,-338,-305.565677,-37.322545,-302.422882
20250,-255,-102,-305,-332.951574,-6.640153,-269.001490
20300,-275,-84,-279,-353.290108,10.505429,-242.602759
20350,-281,-81,-268,-359.438473,13.272368,-231.407304
20400,-281,-81,-268,-359.438473,13.272368,-231.407304
20450,-283,-85,-262,-361.543498,9.290639,-225.251237
20500,-300,-72,-239,-378.855137,21.610424,-201.873177
20550,-319,-57,-195,-398.377390,35.638246,-157.172630
20600,-319,-57,-195,-398.377390,35.638246,-157.172630
20650,-323,-60,-166,-402.718983,32.366940,-127.652159
20700,-325,-74,-165,-404.841591,18.683074,-126.463886
20750,-325,-74,-165,-404.841591,18.683074,-126.463886
20800,-333,-80,-137,-413.234429,12.469257,-97.887301
20850,-340,-76,-91,-420.725218,15.821697,-51.151378
20900,-338,-84,-52,-419.134885,7.601909,-11.479391
20950,-338,-84,-52,-419.134885,7.601909,-11.479391
21000,-337,-83,-24,-418.388997,8.277325,16.933370
21050,-334,-76,8,-415.621672,14.776259,49.322931
21100,-325,-77,47,-406.913178,13.432509,88.850451
21150,-325,-77,47,-406.913178,13.432509,88.850451
21200,-315,-77,77,-397.100699,13.169689,119.218025
21250,-305,-86,104,-387.318563,4.158504,146.637802
21300,-294,-89,126,-376.438168,1.062879,168.904749
21350,-294,-89,126,-376.438168,1.062879,168.904749
21400,-283,-86,146,-365.498832,3.843335,189.074980
21450,-276,-87,157,-358.539912,2.793266,200.188457
21500,-263,-83,178,-345.583091,6.551651,221.343850
21550,-263,-83,178,-345.583091,6.551651,221.343850
21600,-249,-81,200,-331.638861,8.354286,243.526963
21650,-224,-87,227,-306.682692,2.369145,270.768686
21700,-181,-107,264,-263.730582,-17.266553,308.144424
21750,-181,-107,264,-263.730582,-17.266553,308.144424
21800,-151,-114,284,-233.661850,-24.117682,328.240366
21851,-132,-113,296,-214.576021,-23.148154,340.231262
21900,-120,-102,305,-202.467161,-12.434993,349.133872
21951,-120,-102,305,-202.467161,-12.434993,349.133872
22000,-105,-83,314,-187.274675,6.103510,357.919768
22050,-85,-58,324,-167.000868,30.518203,367.606993
22100,-48,-46,338,-129.676736,42.317195,381.334079
22150,-48,-46,338,-129.676736,42.317195,381.334079
22200,-5,-46,349,-86.341042,42.480327,392.088177
22250,18,-43,354,-63.133139,45.504350,396.910090
22300,28,-41,356,-53.036474,47.499792,398.822345
22350,28,-41,356,-53.036474,47.499792,398.822345
22400,45,-57,358,-35.986585,31.978930,400.864128
22450,76,-90,358,-4.885537,-0.014441,400.925776
22500,107,-119,355,26.270934,-28.072158,397.897149
22550,107,-119,355,26.270934,-28.072158,397.897149
22600,136,-149,349,55.429278,-57.085883,391.852402
22650,144,-158,346,63.481197,-65.781467,388.827179
22700,134,-153,347,53.401680,-60.979933,389.884641
22750,134,-153,347,53.401680,-60.979933,389.884641
22800,127,-162,349,46.250967,-69.829278,392.081985
22850,124,-166,349,43.193730,-73.751845,392.154859
22900,131,-168,348,50.262192,-75.646091,391.093552
22950,131,-168,348,50.262192,-75.646091,391.093552
23000,144,-180,344,63.355410,-87.224809,387.037338
23050,150,-191,340,69.383247,-97.874016,383.037912
23100,158,-212,331,77.414067,-118.212165,374.051335
23150,158,-212,331,77.414067,-118.212165,374.051335
23200,146,-221,331,65.231298,-127.072577,374.266113
23250,136,-241,324,55.064270,-146.575707,367.473742
23300,133,-262,316,51.972302,-166.997388,359.609105
23351,133,-262,316,51.972302,-166.997388,359.609105
23401,135,-287,303,53.953749,-191.234057,346.662523
23450,135,-313,288,53.927390,-216.437696,331.715300
23500,125,-331,278,43.802592,-233.956558,321.854573
23550,125,-331,278,43.802592,-233.956558,321.854573
23600,99,-335,276,17.528209,-238.008947,320.119091
23650,67,-333,277,-14.797320,-236.279638,321.422355
23700,67,-333,277,-14.797320,-236.279638,321.422355
23750,47,-347,263,-34.959842,-249.917860,307.552658
23800,31,-360,252,-51.103670,-262.586879,296.679724
23850,25,-372,239,-57.118718,-274.192310,283.668090
23900,25,-372,239,-57.118718,-274.192310,283.668090
23950,29,-388,225,-53.047650,-289.623582,269.588034
24000,45,-415,198,-36.799945,-315.565837,242.311175
24050,60,-442,166,-21.514131,-341.459891,209.966602
24100,60,-442,166,-21.514131,-341.459891,209.966602
24150,63,-451,152,-18.407164,-350.067904,195.819506
24200,49,-449,152,-32.537927,-348.208881,195.933082
24250,28,-445,156,-53.766186,-344.488491,200.154401
24300,28,-445,156,-53.766186,-344.488491,200.154401
24350,6,-440,154,-75.940061,-339.733247,198.281567
24400,-9,-444,140,-90.985195,-343.581546,184.253880
24450,-18,-459,110,-99.886353,-357.947533,154.041025
24500,-18,-459,110,-99.886353,-357.947533,154.041025
24550,-19,-477,67,-100.599223,-375.045345,110.582401
24600,-17,-490,28,-98.286972,-387.288734,71.101858
24650,-17,-497,-1,-98.052484,-393.800755,41.729698
24700,-17,-497,-1,-98.052484,-393.800755,41.729698
24751,-25,-497,-27,-105.883110,-393.568579,15.404682
24801,-41,-495,-50,-121.811838,-391.470675,-7.818393
24850,-58,-489,-67,-138.782528,-385.542352,-24.982757
24900,-58,-489,-67,-138.782528,-385.542352,-24.982757
24950,-79,-478,-89,-159.712970,-374.707152,-47.240600
25000,-97,-468,-114,-177.590127,-364.794973,-72.562953
25050,-118,-450,-141,-198.425995,-347.075118,-99.974908
25100,-118,-450,-141,-198.425995,-347.075118,-99.974908
25150,-138,-430,-166,-218.257743,-327.419197,-125.387503
25200,-149,-410,-198,-228.929199,-307.627181,-157.995553
25250,-157,-388,-227,-236.585646,-285.896864,-187.608122
25300,-157,-388,-227,-236.585646,-285.896864,-187.608122
25350,-170,-362,-246,-249.363900,-260.406358,-207.061353
25400,-182,-339,-263,-261.171021,-237.858256,-224.460425
25450,-194,-315,-271,-273.058648,-214.433098,-232.731150
25500,-194,-315,-271,-273.058648,-214.433098,-232.731150
25550,-209,-293,-272,-288.058066,-193.055839,-233.842571
25600,-228,-263,-269,-307.084548,-163.943259,-230.941043
25650,-257,-230,-254,-336.310204,-132.101091,-215.789869
25700,-257,-230,-254,-336.310204,-132.101091,-215.789869
25750,-281,-197,-231,-360.561873,-100.313614,-192.563257
25800,-298,-168,-214,-377.709883,-72.316970,-175.453426
